"Plant.Code","Unit","Generator.ID","Cooling.ID","January.Condenser.Duty","February.Condenser.Duty","March.Condenser.Duty","April.Condenser.Duty","May.Condenser.Duty","June.Condenser.Duty","July.Condenser.Duty","August.Condenser.Duty","September.Condenser.Duty","October.Condenser.Duty","November.Condenser.Duty","December.Condenser.Duty"
3806,1,"2","CW2",4161887.888,3826994.568,4248025.364,4117093.532,4262700.376,4061502.412,2730339.336,4191389.392,4078693.132,2346653.508,0,2503099.144
4046,1,"1","CW",2941699.404,2657030.212,2932819.792,2847638.456,2942081.548,2841840.952,2937728.748,2922138.644,2832006.536,2926890.648,2641739.568,2771052.348
4046,1,"2","CW2",2936217.232,2651861.072,2924056.188,2855906.764,2950531.248,2841554.344,2937138.472,2922124.996,2760691.892,203916.908,2810303.636,2964322.228
4270,3,"3","CW",6312801.496,5669543.084,6319838.392,5935770.132,6221090.132,4778832.568,6258004.376,6227135.136,5995066.296,4276699.272,0,2777227.708
6000,1,"1","UNIT1",5519870.696,4988822.024,5519702.072,5354995.904,5283059.256,4625.056,285044.088,5099867.144,5078728.752,5440945.256,5317726.32,5530340.688
6000,1,"2","UNIT2",5445197.64,4915044.348,4016508.956,278428.204,5422328.264,5204623.456,5328490.208,5190482.784,5068374.64,5416474.184,5072807.344,5444678.128
6000,2,"1","UNIT1",5773270.696,5250625.024,5824940.072,5600878.904,5525600.256,4844.056,298167.088,5334036.144,5311911.752,5690725.256,5561857.32,5797116.688
6000,2,"2","UNIT2",5861515.64,5291073.348,4391024.956,304377.204,5885065.264,5689996.456,5825206.208,5674451.784,5540985.64,5886464.184,5545843.344,5871151.128
6001,1,"1","PLANT",4622010.428,4183980.264,3813595.884,-10.236,2344357.704,4383074.056,4512893.76,4528260.628,4407528.604,4586874.668,4464549.204,4611516.44
6001,1,"2","PLANT",4647109.68,4197428.208,4621713.584,4459463.528,4399354.596,4421166.932,4528833.844,4548360.484,4429285.26,4607315.724,3387014.976,4627937.616
6008,1,"1","1",6563637.384,5939564.884,6571699.94,6357194.444,6575760.22,6369290.932,6533765.164,6519188.424,6322292.296,6577521.68,6085583.848,6556148.044
6008,1,"2","2",6367097.476,5756717.168,6353330.456,6150116.352,6336216.868,6058248.252,6287622.16,6272807.656,6084947.152,1818543.616,2611944.004,6395301.268
6008,1,"3","3",6577566.036,5936170.544,6577194.128,619323.704,5284109.296,6342568.464,6524237.272,6511806.68,6310672.888,6557566.128,6077025.52,6565810.828
6011,1,"1","SYS042",4493695.052,4054803.66,4479271.852,4005177.748,4360756.948,4243141.812,4313677.056,4337621.324,4196205.592,4441512.72,4321595.876,4469474.412
6011,1,"2","SYS042",4538507.952,2158476.3,2528246.864,4054073.572,4493138.516,4290772.452,4389578.128,4385799.5,4267648.584,4518971.076,4391188.972,3765851.152
6014,1,"1","1",4882677.88,4339353.996,4858936.876,4687972.428,4729542.928,4564342.328,4759389.544,4720353.324,4625384.06,4808865.16,3804879.768,4765678.404
6014,1,"2","2",4864120.012,3067390.244,0,3799741.14,4947368.324,4674688.108,4890824.26,4900797.828,4679692.528,4957058.696,4784295.196,4912354.564
6015,1,"1","1",4771988.88,4296261.144,4785176.26,151699.9,2310967.872,4515722.332,4676933.064,4686692.972,4553704.432,4747475.132,4620636.172,4733417.016
6020,1,"1","CSID01",6147299.468,5199062.456,1344196.796,959297.448,6195355.836,5949891.188,6162650.732,6172410.64,5885745.188,6177016.336,5964960.64,6187334.224
6022,1,"1","PLANT",5998357.856,5417965.7,5514739.104,2266697.572,5992764.552,5767459.204,5878738.928,5934929.448,5752492.624,6011630.536,5819193.496,6009266.02
6022,1,"2","PLANT",6094241.88,5506626.52,6104181.036,5903480.368,6086003.82,5841461.804,5997010.892,6012070.68,5769752.98,2108246.724,5887853.172,6095453.14
6023,1,"1","PLANT",5959078.436,5349377.716,4385158.424,5707101.04,5870384.764,5657724.724,5821424.86,5832150.364,2241292.136,5077896.024,5086794.68,5940664.108
6023,1,"2","PLANT",6081986.352,5496080.616,6055150.664,5760061.72,5902404.68,5774505.28,5948183.556,5962499.528,5765104.04,5661815.612,5216070.244,6015640.176
6026,1,"1","PLANT",5816515.904,5258123.616,5790249.976,5602829.688,5713331.792,5498084.068,5619125.24,5652669.052,5446724.38,5759782.876,5592613.128,5804297.856
6026,1,"2","PLANT",5798358.476,161408.552,2540134.932,5601874.328,5416593.604,5291257.116,5582191.812,3880344.012,5320303.156,5766070.28,5625344.644,5774772.468
6036,1,"1","PLANT",5518147.116,4993519.2,5501378.14,5306386.756,5461406.76,5246028.476,5401974.336,5410911.568,5240350.908,5465868.052,3519235.748,2253007.424
6036,1,"2","PLANT",5542698.456,4814469.884,0,4420348.36,5504914.78,5298665.4,5455548.96,5366795.212,5306274.16,5519170.716,5354594.904,5516001.572
6038,1,"1","PLANT",5521441.696,3770846.06,5523188.64,5346887.156,5525167.6,5340605.704,5470818.26,5450466.684,5293871.54,5540610.312,5339008.848,5518933.876
6038,1,"2","PLANT",5529050.456,4995324.848,5538955.492,5353738.452,5537962.6,5314391.308,5127418.124,4968134.924,1829589.464,3524028.004,5349899.952,5530166.18
6040,1,"1","PLANT",4838382.988,4377262.024,4856313.048,2752158.348,1034737.82,4287872.868,4790778.384,4793593.828,4660041.668,4850243.1,4682956.352,4839843.324
6040,1,"2","PLANT",4854869.228,4384022.72,4840154.052,4543874.792,4773852.232,4596594.476,4746097.172,4756376.204,3576906.552,103294.252,4658117.3,4834936.56
6045,1,"1","SLC",4949877.112,4489192.124,3412068.236,779036.012,4888808.344,4734979.748,4925895.312,4483778.192,4713287.084,4889514.628,4741179.868,4899370.072
6045,1,"2","SLC",4965961.72,3725491.148,4884428.248,3231263.664,4946370.488,4793979.936,4978872.728,4936784.592,1044285.524,763724.228,4744817.576,4980732.268
6051,1,"1","PLANT",4287409.832,4300188.3,4515481.16,4405371.14,4727115.24,4523166.06,4664622.708,4689406,4374953.652,4747649.24,4609550.584,4653605.068
6051,1,"2","PLANT",4452893.092,1071428.448,2453014.888,4603238.824,4764930.14,4583693.956,4736355.228,4545040.192,4589262.356,4759491.412,4598881.7,4755995.284
6072,1,"1","CW",7396499.004,4250321.176,7451971.352,7013561.452,7479455.012,6998567.664,7417172.896,7231274.056,6948394.22,7485429.424,7101931.776,7267478.604
6099,1,"1","PLANT",4828797.828,5087021.78,5651551.228,5494716.56,5655772.416,5469995.876,5621824.032,5603839.616,5385123.992,493554.548,3710851.308,5232543.98
6099,1,"2","PLANT",5798733.976,5228681.764,5785049.404,5588187.208,5780965.24,5597290.424,5776572.452,5694354.564,5006640.604,5777326.504,5607690.2,5510195.844
6103,1,"1","1",6619055.208,5978612.372,6614568.372,6271944.352,6400378.312,6198652.36,6454781.4,6465166.204,6147615.792,6557966.468,4463624.552,6539613.556
6103,1,"2","2",6620761.152,5942264.88,6568344.448,2097501.936,956385.596,6204015.408,6386550.256,6361024.776,6188817.796,6362399.812,6305271.28,6514446.336
6105,1,"1","PLANT",5773803.54,4658400.428,5782862.4,5574551.348,5568689.852,5451167.32,5594914.836,5614076.392,5398333.132,5745967.012,5589763.592,5750920.324
6105,1,"2","PLANT",5795647.164,5061869.628,4964832.584,1684230.008,3997228.98,5498401.384,5643489.184,5662316.364,5443997.676,5724238.132,5600133.06,4210619.188
6110,1,"1","CW",4120779.084,3752329.7,4143133.36,4000229.832,4143129.948,4002147.376,4026606.652,3992801.116,3873740.368,4101542.464,4000083.116,4140090.768
6115,1,"1","001",5847707.58,5287274.54,5843197.52,5664039.42,5854110.3,5655509.42,5840503.644,5840438.816,5201563.292,-593.688,2934920.512,5858835.316
6118,1,"1","HC",6341515.196,5742205.364,6311638.872,1922613.488,3434007,5926457.52,6140272.84,6150531.4,5442192.36,5804259.68,5750832.08,6228320.644
6122,1,"1","1",2875342.948,2597251.532,2869860.776,2788403.84,2865589.864,2768653.12,2813355.352,2844027.172,2781811.34,1630949.884,2190795.684,2907633.556
6127,1,"1","VCS1",4700838.8,4293149.4,4756634.88,4606882.4,4760934,4621895.2,4779578.08,4771486.64,4626579.36,258610.56,0,4370626.04
6145,1,"1","1",5919471.84,5348620.724,5928888.96,5740178.52,5938773.524,5433436.504,5940357.028,5921181.824,5753065.84,5941817.028,5728130.748,5926244.66
6145,1,"2","1",5939367.212,5366281.236,5946191.212,5757293.112,5954103.64,5665211.684,5917357.884,5896701.872,5720020.42,443386.384,3116075.292,5943451.376
6149,1,"1","CSID01",4703646.344,4250048.728,4713582.088,4563468.232,4133936.096,4554917.204,4695315.76,4700761.856,4483522.284,4715892.012,4560404.256,4710453.284
6152,1,"1","SITE",5695426.168,5146773.276,4177484.816,1340854.984,2559903.824,5442162.02,4303996.624,4134656.364,4265312.156,5658413.948,5138017.888,3756220.692
6152,1,"2","SITE",5572541.088,5091642.46,4234785.236,5443076.436,5606302.268,5333208.888,5502445.992,5493013.636,5265619.664,5350643.176,1939874.708,2743478.624
6153,1,"1","1",5777618.88,4789650.396,5789902.68,5580274.82,5703139.936,5463553.712,5037511.12,5319915.136,5506350.428,5766341.016,5596994.02,5774314.94
6168,1,"1","CW1",4709094.016,4010465.12,1264280.376,4206906.656,4798149.36,4589906.468,4709912.896,4713672.008,4589476.556,4813234.488,4685913.924,4846036.896
6168,1,"2","CW2",4817542.932,4369707.416,4845245.312,4662996.352,4809758.572,4589684.688,4715105.048,4724800.128,4594755.436,4821626.184,4686633.856,4841694.332
6251,1,"1","MCR",6330472.652,5701056.648,6297580.532,6059475.54,6207617.596,5950153.912,6114806.552,6105429.788,5935006.496,3313376.816,0,1243501.532
6251,1,"2","MCR",6339651.52,5714772.768,5647555.376,0,4228873.152,5954712.86,6110079.432,6094560.98,5945622.26,6194542.136,6058472.412,6274028.644
6462,1,"1","CW",4573725.6,3458528.628,177346.812,4844652.084,4903201.824,2960264.54,4696745.388,5064741.62,4834385.196,5119250.48,4044849.756,4351490.444
7722,1,"1","SITE",5674585.56,3797484.668,5203548.008,5471013.576,5637249.548,5387901.616,5520419.172,5544779.704,3290286.736,1343446.156,4088131.756,5705921.368
8011,1,"1","511",4199665.08,3784822.856,4185525.076,4047699.324,3261678.988,3949811.856,3841261.024,4083896.836,3950640.972,3838184.312,560903.556,4186354.192
8036,1,"1","CW",4010681.88,3649324.2,4025778.2,3842913.64,3630946.28,3677916.76,3922794.44,3922112.04,3843084.24,4021587.72,3861750.24,3981954.4
8055,1,"1","CW1",3188753.184,0,4145184.136,4159150.004,4278279.6,4153574.796,4267871.96,4257941.952,4124659.848,4280514.46,4141069.816,3877216.872
8055,1,"2","CW2",3827805.148,3461943.012,3817129.928,3684508.768,3791746.284,3641359.692,3718549.364,3657448.056,2283934.928,0,1767517.172,3820461.672
8055,2,"1","CW1",4021628.184,0,5227791.136,5262774.004,5440925.6,5274140.796,5382661.96,5370156.952,5202242.848,5443160.46,5266210.816,4890310.872
8055,2,"2","CW2",4940158.148,4467608.012,4926297.928,4754815.768,4893485.284,4699341.692,4799060.364,4719915.056,2947484.928,0,2281101.172,4930691.672
8907,3,"3","CW",5448943.48,4916296.584,896615.704,5258396.736,2407376.868,5201571.084,5195339.02,5461898.844,3357417.268,5436830.88,5256840.864,5075892.984
