"Plant.Code","Elevation","pond_area","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Tdb","Twb","nwT"
165,620,1e+06,2108787,2156091,2350472,1585908,2806593,2968767,2988113,3273989,2411695,1344364,815685,1284657,3,2,11,17,20,27,28,26,24,17,11,8,0,-1,8,13,17,22,24,21,20,13,8,5,6.470935219,6.320488114,10.98746184,16.33134686,18.69505835,23.80347387,26.47059366,25.41405444,23.49538625,18.73598052,13.59511824,9.508191816,7,9,7,9,8,8,7,6,7,6,9,9,89.96800465,77.7259636,30.49
201,374,1e+06,0,2041.8,0,0,0,0,24775.5,5402.25,0,0,1920.75,3944.85,4,2,10,16,20,26,28,25,24,17,12,9,1,-1,8,13,17,22,24,21,19,13,8,6,5.888435818,5.787211957,9.890805216,17.63602183,20.04236434,24.90817987,27.19150014,28.18863139,25.63932991,19.14578809,14.40689103,11.14072266,6,7,5,7,6,5,5,4,4,5,6,7,78.4738101367617,90.8832937172215,30.49
207,10,1e+06,1841885,2288080,1718703,1614100,2926575,3524634,0,3613448,3355550,3335628,2978908,1526329,13,12,19,23,25,28,29,28,27,23,20,20,10,9,16,19,20,23,24,24,23,19,19,17,15.78241369,15.26499734,18.98217595,23.36294348,27.00028238,30.42653058,29.9867443,31.93126996,29.42535744,26.47822877,25.76242086,22.89321444,8,9,7,7,8,6,7,6,7,8,7,7,87.26568437,79.35336055,30.49
271,10,1e+06,0,0,0,41525,20240,21427,36497,0,27143,0,0,0,10,13,15,14,16,20,22,22,21,19,11,9,8,10,11,10,12,15,16,16,14,14,8,7,8.798293331,7.325781542,9.11061631,16.99944052,17.73853618,19.81215171,21.01461131,20.91771933,19.78183912,18.03551965,13.70110856,9.956797642,3,6,5,8,11,9,10,9,7,5,5,6,69.9816878173049,91.7499674357674,30.49
298,460,1e+06,5177857,2807605,3010788,4302986,5168602,4767706,4404994,4975562,4373777,2684852,1755058,3171025,8,9,14,20,24,28,30,30,28,23,16,13,5,6,12,17,20,23,24,23,21,17,13,10,9.739579152,12.01976693,15.29937403,21.2661451,23.57991015,27.5810577,29.34904668,29.26361331,27.54532304,23.24805076,18.22291371,14.12074695,7,8,6,7,7,5,7,6,5,6,6,6,90.29513098,78.5727703,30.49
331,1110,1e+06,0,0,0,13624,8153,256575,246523,191135,191617,161275,0,0,15,17,19,19,18,24,25,27,27,24,15,12,9,11,12,11,13,17,18,19,19,17,8,7,14.63571022,15.47951266,15.94397253,16.67968307,16.88607897,19.02430213,20.04034104,20.36530986,20.33993197,18.81197868,16.31890679,14.06679922,4,4,5,7,7,6,7,6,5,5,5,4,91.55720386,72.71795745,30.49
358,1110,1e+06,1107269,1182533,1136966,717644,891455,1376754,1580081,1546077,1506192,1206808,1406060,1043070,15,17,19,19,18,24,25,27,27,24,15,12,10,11,12,12,13,17,19,19,19,17,9,7,14.15766946,15.70773312,15.8265894,16.68188515,17.10895623,19.13835194,20.67272311,20.69086348,20.70350415,18.58164766,16.34562144,13.89001753,4,4,5,6,6,6,6,5,5,5,5,5,93.26854717,72.72050387,30.49
377,470,1e+06,98318,70532,75812,96343,96590,101795,107538,115800,119078,124590,90958,118179,16,17,19,18,17,22,23,25,26,23,16,13,10,12,13,12,13,17,18,19,19,17,9,7,15.63609818,16.12615199,16.93203207,17.02228786,16.76161302,18.48178077,19.32356044,20.64955276,21.04214033,20.24468236,16.86110833,15.19766184,3,3,4,4,4,4,4,4,3,4,4,4,80.61977058,70.38175943,30.49
384,510,1e+06,824954.4,919156.2,873839.4,258612.3,948384.9,788333.4,986981.4,1016328,1029739.8,967555.8,801414.6,164293.8,-5,-10,2,10,17,21,23,22,21,13,7,4,-6,-10,0,6,13,17,19,18,17,9,5,3,3.276215747,1.938134534,5.961381558,12.81554243,17.85542092,21.13910749,24.51215108,25.05682764,22.32912056,17.87240911,11.96706551,7.729793922,10,10,9,11,10,8,7,7,7,10,11,11,77.9811869909427,87.6010359016475,30.49
389,-50,1e+06,207165,103792,203806,144075,290454,500783,486861,542101,524946,387396,140677,114325,14,18,21,22,23,31,32,35,32,27,16,12,8,11,12,12,14,19,20,21,21,17,8,6,13.05679422,15.88371527,15.26586234,17.21949468,17.27449041,19.19364125,22.46949182,21.63823003,21.86623933,18.63549968,15.60135119,12.36867818,4,6,6,9,9,9,8,7,6,6,7,7,95.55687402,78.66373602,30.49
408,920,1e+06,109,0,42984,197510,37148,168289,159770,323598,343379,584188,453572,79566,15,17,19,18,17,22,23,25,26,23,16,13,10,12,12,12,13,17,18,19,19,17,9,7,15.54023962,16.0509275,16.89112252,16.99079068,16.54438639,18.38937635,19.26548535,20.7781759,21.22928525,20.51824228,16.74440069,15.14426661,4,4,5,5,5,6,6,5,4,5,5,5,80.61144929,70.38132411,30.49
420,750,1e+06,22046,0,0,2253,27331,0,0,0,30614,34601,0,24230,16,17,20,18,18,21,23,25,25,23,17,13,10,12,13,12,13,17,18,19,19,18,9,8,15.54487143,16.02287842,16.84789446,16.97113231,16.92460418,18.59165897,19.40815562,20.48920555,20.8248114,19.92266695,16.76673172,15.03101888,2,3,3,4,4,4,4,4,3,3,3,3,81.02201726,70.53264165,30.49
469,5140,1e+06,1472972,1314994,698290,1129385,1046372,1160547,1170188,1809181,1660578,1668597,718077,1072991,1,1,7,9,11,21,22,23,20,13,3,-1,-2,-3,2,4,8,15,15,14,11,8,-1,-4,2.617657431,3.505279103,5.562842073,7.220330346,7.921994941,11.56324836,13.30270227,15.3192321,12.71580037,9.60412448,5.284437225,3.154834841,8,8,9,10,8,8,9,9,8,8,9,9,79.85626369,62.92813185,30.49
470,4830,1e+06,1767136,1796669,1279113,2034428,2014998,2244634,2524480,2471236,2158076,2462007,2596661,2257597,-1,0,5,8,11,19,20,21,18,12,2,-2,-4,-4,1,3,7,14,14,13,10,7,-2,-5,3.192706552,4.835075676,7.24060303,9.788922232,11.6162765,17.28243486,19.97909814,20.67346,19.98536454,16.81999185,8.529296429,4.340254364,7,8,8,10,9,8,8,8,8,7,9,8,66.6530025518282,83.9038975549668,30.49
