"Plant.ID","Elevation..feet.","Pond.Area..acres.","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
879,460,1426,4510817,4962676,3667349,1946985,2689976,3172943,3999147,4142799,3187789,2125947,790543,0,-4,-7,4,13,19,23,23,22,22,14,8,5,-4,-8,2,9,15,20,21,19,17,10,6,4,1.741327042,1.536897845,5.867443811,13.87561267,19.59522891,23.28760362,25.27560816,26.3339668,24.23187305,16.24069292,10.40855812,6.790121299,8,8,8,10,9,8,6,6,7,9,10,11
889,430,2000,5154637,5125109,5898369,4103117,3648137,5441742,6049136,6038413,4465614,3140737,3498889,4260183,0,-3,7,15,20,25,26,24,23,15,10,7,-2,-5,4,11,16,21,22,20,18,11,7,6,3.354603058,3.287504185,7.509389957,15.37805994,20.28562158,24.04170761,25.86979446,27.44480697,24.83496231,18.08391084,11.94866745,8.154175952,8,9,7,8,8,7,6,5,5,7,8,9
2053,360,361,0,0,21379,13528,14137,0,0,15072,0,14024,12989,0,7,6,16,20,23,27,29,28,26,20,16,14,4,3,13,17,19,23,24,22,20,16,13,12,7.811717727,8.684385281,14.00711993,19.88328224,23.00605687,27.44598121,29.21173939,29.20190825,26.67884834,21.27825023,16.72201588,14.10271038,7,8,7,7,6,5,5,6,5,7,7,8
2330,4320,200,8592,20074,35479,45726,96564,300915,325221,327162,194382,197643,128141,223437,5,8,11,11,15,23,23,23,20,16,5,2,1,4,5,5,9,13,14,13,10,10,1,0,2.229666445,6.180211248,10.31213777,13.30504494,16.98897041,21.97892598,21.82101708,21.21042399,16.39372027,12.7395536,4.669031459,2.424331849,3,6,5,7,7,6,6,6,5,5,5,7
2442,5350,1275,3796892,3526439,3507522,5004057,4310667,4249448,5269957,4392738,3139052,5209042,4930201,4293610,0,4,8,10,13,21,22,23,19,12,4,-2,-2,0,2,3,8,12,14,14,11,8,-1,-5,3.893945362,6.284105062,10.07887357,12.52613701,14.45247349,15.09812776,19.38480972,19.32583499,16.36218744,12.87677401,6.242888567,2.613970499,5,7,7,8,8,7,7,7,6,7,7,7
2706,2173,320,1028619,1103878,864027,530021,594538,994474,1021761,870875,746059,614391,902110,702856,5,3,13,17,22,26,27,26,23,16,13,13,2,0,8,13,17,21,22,21,18,12,10,10,4.710328008,3.222078338,9.786729485,13.94464947,18.00177219,20.68424787,22.99314635,22.61670555,19.60118043,13.86052665,11.14743659,10.23487579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3507,286,740,8625,9765,4814,252,1909,5010,93402,114915,10,6027,3428,10,8,9,14,20,23,28,30,30,28,22,15,13,4,5,11,17,20,23,24,22,21,16,12,10,9.498715252,11.61764617,14.72832191,20.88908248,22.81346261,27.37934533,29.06529144,28.66710151,27.14384548,22.71744713,17.55616346,13.29235459,8,9,7,8,8,7,8,7,6,7,7,8
3548,564,756,0,0,1950,4842,3193,17787,12295,33294,24673,28467,23865,8407,9,10,17,21,24,27,29,30,28,23,16,13,6,7,13,18,21,23,24,23,22,17,13,11,13.64701261,15.51616481,17.96066562,20.73227924,23.92358868,26.30622246,28.77841896,28.88572776,27.16804008,23.31622347,19.67720071,15.80101227,6,7,6,7,7,5,8,5,5,6,6,5
3628,887,1353,0,0,0,0,10589,118873,310236,323604,83153,63843,102,50473,7,7,13,19,22,27,29,30,27,21,14,11,3,4,10,16,19,22,23,22,21,15,11,7,7.839663083,10.40034915,14.30151128,20.20121586,22.17676622,27.17060262,28.92693941,28.37866763,26.41344016,21.63899592,15.51443287,11.24601373,8,9,7,9,9,7,8,6,7,7,8,8
4195,519,358,2532,4283,6673,3208,19330,22687,39265,45836,15725,3776,1900,810,7,7,13,19,22,28,30,30,28,21,14,11,3,4,11,16,19,23,24,22,21,16,11,9,8.041276907,9.226455127,13.63519837,19.69249669,21.78549656,26.64328781,28.85398921,28.09311823,26.15830622,21.46544136,15.96381344,11.82476742,7,8,6,8,8,7,8,6,6,6,7,7
6017,545,2021,2058140,2658900,1874283,1586161,2811729,3165933,3224496,2951275,2336219,2513045,1153231,1424269,-3,-7,4,13,19,23,24,23,20,14,9,6,-4,-7,2,9,15,20,21,19,17,10,6,5,4.107377404,3.200205066,9.995526365,17.01921432,21.85939363,26.8607995,29.23504986,29.16124807,25.58456648,19.18687241,14.3915812,8.959138072,9,10,8,10,9,8,6,5,6,9,9,10
6026,708,1029,11614874.38,5419532.168,8330384.908,11204704.016,11129925.396,10789341.184,11201317.052,9533013.064,10767027.536,11525853.156,11217957.772,11579070.324,-5,-10,2,10,17,21,23,22,21,13,7,4,-6,-10,0,6,13,17,19,18,17,9,5,3,1.901013342,1.616219438,6.557689626,13.55351809,19.47002329,21.95850796,24.69875316,26.51521398,24.73611458,16.47725947,10.65007502,7.184982929,10,10,9,11,10,8,7,7,7,10,11,11
6035,756,100,12626,62092,31480,0,0,83607,336573,116161,166207,0,1737,0,-6,-11,1,9,17,20,22,21,20,12,7,4,-7,-11,-2,5,13,16,18,17,16,9,5,3,0.475595504,0.250247367,1.583792402,6.485230673,13.13576477,17.85771512,21.14605156,21.82970891,20.37480611,13.16305517,8.009019852,5.048842268,9,9,9,9,8,8,6,7,6,9,9,9
6098,1130,350,1384022,1253209,0,0,0,0,0,1140510,986469,1074220,1013583,1080788,-8,-12,1,9,13,20,22,20,19,11,3,-4,-8,-12,-1,4,10,16,18,17,15,7,1,-5,0.795212941,0.499501245,2.725633967,9.257012594,15.66894988,21.24380337,24.65468307,23.16990453,21.0304533,12.61472414,4.679005222,1.517823754,12,12,12,13,12,9,9,9,9,11,11,11
6106,696,1250,123372,5,5,5,416,1379039,1644647,1841043,1730181,1738000,1572846,1934347,3,7,10,11,17,24,25,23,17,14,5,3,2,4,6,6,11,15,15,14,11,10,3,2,4.096066749,5.501646881,7.363488783,9.303837423,12.2857993,16.55278547,19.22984959,19.57420341,16.66874213,13.4666436,8.574313411,4.821590241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
