eia_id,MAH_revised_9/20/22,plant_name,county2,state,name_of_wa,water_sour,water_type,water_source_aeg,nsegment_v11_old,nsegment_v11_new,WT_multsrc,which_list,min_yr,mx_yr,cont_yrs,elev_ft,pond_acres,latitude,longitude,cmplxcoo_flg,coolty_1,coolty_2,coolty_3,gen_ty,netgen_mwh,wthdrw_mgd,cnsmpt_mgd,mn_wth_mgd,mx_wth_mgd,mn_cns_mgd,mx_cns_mgd,note,water source note,
273,,,San Francisco County,CA,San Francisco Bay,,,saline,NA,NOAA saline,compare SNTemp / NOAA sst,all_verified,2000,2011,continuous years,12.76,1000000,37.75651987,-122.3818202,0,saline_once_through,null,,,,,,,,,,,,
298,,Limestone,Limestone County,TX,Lake Limestone,SW,FR,sw,38448,38448,,2015,2000,2020,continuous years,455.87,1000000,31.4230303,-96.25276036,0,tower_recirculating,null,,COAL,9164672,14,9.82,8,24,8.36,11,,,
302,,Encina,San Diego County,CA,Pacific Ocean,SW,SA,saline,55910,NOAA saline,,2015,2000,2018,continuous years,17.79,1000000,33.13611318,-117.336276,0,saline_once_through,null,,GAS STEAM,652624,81,0,37,595,0,0,,,
310,,,San Diego County,CA,San Diego Bay,,,saline,55866,NOAA saline,,all_verified,2000,2011,continuous years,12.01,1000000,32.6145807,-117.096373,0,saline_once_through,null,,,,,,,,,,,,
312,,Refuse & Coal,Franklin County,OH,Quarry Pond,,,sw,13419,13419,,all_verified,2000,2000,continuous years,705.59,177.8372155,39.902222,-83.024444,0,pond_recirculating,null,,,,,,,,,,,,
315,,AES Alamitos LLC,Los Angeles County,CA,Los Cerritos Channel,SW,SA,saline,56109,56109,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,13.68,1000000,33.76913561,-118.1002421,0,saline_once_through,null,,GAS STEAM,1052825,113,0,51,835,0,0,,,
329,,,San Bernardino County,CA,Wells,,,gw,56348,56348,,all_verified,2000,2014,continuous years,1962.88,1000000,34.86297819,-116.8525867,0,tower_recirculating,null,,,,,,,,,,,,
330,,El Segundo Power,Los Angeles County,CA,Pacific Ocean,SW,SA,saline,55955,NOAA saline,,2015,2000,2015,continuous years,18.34,1000000,33.90940044,-118.4245704,0,saline_once_through,null,,GAS STEAM,144279,15,0,7,114,0,0,,,
331,,Etiwanda Generating Station,San Bernardino County,CA,Wells,GW,FR,gw,56205,56205,,2015,2000,2018,continuous years,1121.39,1000000,34.09107383,-117.5278841,0,tower_recirculating,null,,GAS STEAM,136904,0,0.2,0,1,0.14,0.24,,,
334,,Highgrove,San Bernardino County,CA,wells,,,gw,56443,56443,,all_verified,2000,2000,continuous years,943.38,1000000,34.0225,-117.3325,0,tower_recirculating,null,,,,,,,,,,,,
335,,AES Huntington Beach LLC,Orange County,CA,Pacific Ocean,SW,SA,saline,56237,56237,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,2.02,1000000,33.64265185,-117.9771,0,saline_once_through,null,,GAS STEAM,722497,62,0,28,462,0,0,,,
341,,Long Beach Generation LLC,Los Angeles County,CA,Pacific Ocean,,,saline,56079,56079,compare SNTemp / NOAA sst,all_verified,2000,2004,continuous years,-15.47,1000000,33.7641,-118.2248,0,saline_once_through,null,,,,,,,,,,,,
