"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
1682,2832,0,3287,3348,12586,7349,77380,33054,3262,10336,2187,27096,100,"tower"
1702,4515,4859,909,17815,108753,190155,149784,163654,110833,33047,31,0,100,"tower"
1831,0,0,12614.55,10056.15,0,0,16469.4,0,0,0,0,0,15,"tower"
1832,0,127845,207493,228719,472240,496769,485264,474488,495028,506715,539252,505058,100,"tower"
1880,0,0,758,0,2517,0,0,0,0,0,0,0,100,"tower"
1893,3289277,1448425,1384935,1967280,1705033,2568596,2343787,2397614,2346258,2431336,3136811,3006936,100,"tower"
1915,15046.52,10969.52,4841.87,97.6,11102.91,13178.81,11159.78,2441.38,5000.7,1464.14,5302.25,6223.63,1,"tower"
1943,30592,30906.5,24740.1,26978.2,9322.4,1302.2,16052.1,8902.6,944.3,4800.7,17666.4,18375.3,10,"tower"
1979,0,48,950,0,0,0,0,0,0,0,0,0,100,"tower"
1980,0,0,0,0,0,6446,2404,0,0,0,0,0,100,"tower"
2001,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
2049,423364,202862,506563,1013941,1108665,832675,1422596,1270002,1373405,1348849,440388,574370,100,"tower"
2067,0,0,0,3710,0,0,0,638,1470,0,0,0,100,"tower"
2070,252152,169531,200277,259141,248309,83593,344521,591501,350502,302294,294692,597814,100,"tower"
2076,276454.5,418590.75,505194,296766,132586.5,402339.75,361275,283515,306593.25,202672.5,389042.25,40701.75,75,"tower"
2123,57645,63128,729,526,7222,15050,12394,9333,0,0,0,7451,100,"tower"
2132,3240,0,16200,14469,30906,18443,27739,25746,24697,10869,3509,0,100,"tower"
2240,276999,285233,260534,230048,177914,313686,345745,274542,249898,224006,226808,241034,100,"tower"
2244,0,0,0,0,0,0,3540,1563,0,0,0,0,100,"tower"
2277,532287,472632,560367,127011,400484,217499,685316,410983,331552,67720,334938,380676,100,"tower"
2322,0,0,0,0,1739,217775,534376,543346,359315,74488,0,0,100,"tower"
2336,10817.6,15045.7,16491.2,34938,28503.1,34910.8,41298.5,44917.9,33926.2,30956.4,25417.6,36037.1,10,"tower"
2393,150,0,0,0,0,9667,15499,0,12609,0,136,0,100,"tower"
2398,1273964,300344,1094748,670080,413872,1361224,2761834,2003308,1424510,1867230,1559330,761838,100,"tower"
2406,1132084,1149246,915453,561039,928739,892946,1544268,1293631,814030,948094,1198705,1131200,100,"tower"
2444,105121,48380,67850,265255,483997,543799,594488,526397,493460,518310,433335,358334,100,"tower"
2446,251177,210442,319057,205430,344190,370312,350994,305808,171050,206515,253574,161476,100,"tower"
2450,36203,12716,130073,118208,180031,19309,249594,234141,254435,49466,42297,30159,100,"tower"
2451,2744944,2761379,2135404,1151789,1526310,2584428,2867867,2927483,2841097,2991482,2883387,2105429,100,"tower"
2454,297052,420057,262759,472249,602031,677696,584071,655492,364975,32659,70520,354239,100,"tower"
2539,752050,749786,450524,815878,597299,761756,979639,929942,837694,879819,870926,810686,100,"tower"
2682,13006.45,9685.25,3635.65,0,0,0,119.7,10718.85,1350.9,0,0,8645,95,"tower"
2712,1512649,792,2120008,1312063,649107,1073058,1930835,1822255,2118782,1588924,0,1159660,100,"tower"
2720,972245,879659,0,137053,940762,896572,1012272,985822,934738,925128,890434,846167,100,"tower"
2721,1989425,1630001,395265,1536381,1994143,2821381,3126811,3894538,1266166,2447910,3739319,396399,100,"tower"
2723,991806,904379,1014235,539378,929009,931523,1033507,1033300,955474,557501,353,741366,100,"tower"
2828,1581978,1783397,497360,0,0,1048395,1480582,1808192,1680743,1458781,1705949,1960982,100,"tower"
2832,3691341,3014266,3694372,2244774,3186565,2965507,3592280,3801919,3209396,2511605,3272604,2838607,100,"tower"
2840,1776496,317775,690389,721199,1642481,1314246,1865283,1663375,1431188,220719,447322,1342389,100,"tower"
2935,55933,3442,15848,3138,0,1478,55014,22878,837,0,5758,14271,100,"tower"
2936,0,0,0,0,2708,4064,16003,7248,1842,0,0,0,100,"tower"
2951,0,0,0,0,0,0,0,0,0,0,635,104039,100,"tower"
2952,1571256,1284883,589124,894241,151994,0,671691,1193419,705236,1155272,1369279,652399,100,"tower"
2963,2118838,1649437,1363082,1606498,848105,2156972,2348456,2851131,2543869,1521069,560261,574929,100,"tower"
2964,0,26179,152930,100994,395319,551643,603546,730744,541169,135561,157302,274273,100,"tower"
2965,156643,145446,195997,192127,430578,280106,250861,254489,249098,229300,180166,122163,100,"tower"
3006,40949,20406,72474,163394,241045,299950,280085,374957,224431,63534,95704,163054,100,"tower"
3008,3298,11302,45184,63367,59882,74955,84656,107125,62028,26432,32698,14617,100,"tower"
3096,18954,0,0,0,0,17866,67120,58631,139357,55866,0,0,100,"tower"
3118,5331097,4547975,5598027,5300677,2399154,3897498,5369432,4891143,4864746,4611724,4802033,4454136,100,"tower"
3122,4608607,3432142,4173437,2515731,598269,3101528,4596442,2823578,4181469,2527842,3316640,4531940,100,"tower"
3130,1545875,1350215,1658276,995836,789116,1339848,186999,0,0,1020555,1047821,1160721,100,"tower"
3136,6135784,5688583,3328069,5242027,5809074,5174595,5859701,4716402,2530686,2762509,4974687,5094449,100,"tower"
3148,129547,4655,407884,1881,123568,215400,811808,481755,596388,219808,62017,201552,100,"tower"
3149,1545966,177214,430410,726499,102,832,1779478,1081202,4691,70188,735128,0,100,"tower"
3264,1207892,1042675,257086,695967,1110721,1091124,1164569,1160153,1167755,382659,345886,1186059,100,"tower"
3297,1719007,1211361,223340,0,1389346,1087033,1809973,1431794,946779,133621,257094,1418716,100,"tower"
3298,14850.99,13756.25,5121.27,16712.51,16637.79,15232.1,15875.36,13924.03,16144.3,8278.3,0,5780.71,1,"tower"
3393,723608,654161,838123,362774,907729,861545,918550,980324,940033,119725,850686,771743,100,"tower"
3405,703500,764896,869125,624587,934771,895702,888563,872264,878420,960841,975147,838124,100,"tower"
3443,96072,80511,2797,160468.5,170266,150588.5,211034.5,215785,209841.5,174556.5,99455,103876,50,"tower"
3456,922185,913553,772694,678198,1174703,1390925,1482940,1547257,1418954,1369679,1103271,948188,100,"tower"
3459,1191,1276,1359,1481,1239,112909,1207212,1258904,546740,1002818,874515,109500,100,"tower"
3469,135180,112046,209841,228716,549670,356016,414686,547521,475314,263844,0,12186,100,"tower"
3470,1665850,1909973,3106393,3286596,3238093,3632569,3660427,3421053,3975633,3638314,3938992,3135567,100,"tower"
3478,2116.87,2042.15,2616.2,2400.04,4472.43,4726.69,5217,5483.13,3116.66,1624.16,3219.58,2357.61,1,"tower"
3482,573579,414552,730367,653981,1191676,1108031,1162022,1288831,711835,548913,695000,1088340,100,"tower"
3484,323022,342811,597672,776002,771100,889410,962122,834672,235642,136165,513139,607929,100,"tower"
3485,548945,283716,703449,144235,332508,471903,672445,795300,578972,408318,441849,249280,100,"tower"
3559,0,0,5983.1,1533.3,0,0,0,48093.75,21080.5,30945.3,30603.3,9488.6,95,"tower"
3604,32310,5272,0,43234,67223,125321,128768,86269,42613,50600,14167,31958,100,"tower"
3631,90440,50738,93368,56152,101418,15629,115385,138869,115629,89500,33104,14946,100,"tower"
3648,0,0,6639,20387,117529,87017,233676,264959,100878,46078,270952,171639,100,"tower"
3775,26722,83094,71881,179000,52391,168873,824691,202277,323397,275258,207811,0,100,"tower"
3804,685030,593471,20444,635283,675680,766219,875756,977878,671588,206042,487,278885,100,"tower"
3845,4079768,4279608,3892243,1400537,0,817436,4292150,4727575,4393587,4594962,4412512,5040621,100,"tower"
3935,8436270,5974887,2850308,1630409,5208969,5826789,7460968,5779049,1904308,536586,2665255,2573119,100,"tower"
3943,3094589,3011856,3540440,3268099,3284828,2741057,3169200,3058820,3249730,2348062,3590437,3573932,100,"tower"
3944,6363364,5351362,3664139,4574433,6646222,6622866,6612150,6475817,5726594,5732575,5779433,6149558,100,"tower"
3948,4003954,2821603,2735217,855849,2274887,2327799,3566020,3436570,3096769,2430582,1559899,534967,100,"tower"
4078,2159968,1938145,2260383,1415732,1507952,1666326,2271012,2056694,1532713,1132431,1311605,1607685,100,"tower"
4158,148280.4,125079.3,112642.3,73670.4,76913.2,125748.8,151336.2,165206.6,146252.8,150413.2,147231.2,144609.6,10,"tower"
4158,818288,676999,954354,930667,990385,1045807,1104213,1077952,1018630,1221227,781248,739578,100,"tower"
4162,2703641,1275612,1342458,1139068,927875,1303588,1551005,1432246,1390101,1326474,1346917,1501066,100,"tower"
4266,0,0,0,0,0,8277,10402,123736,64865,20711,0,0,100,"tower"
4940,0,0,185821,175278,105080,533449,874733,1148080,121578,13799,231057,0,100,"tower"
4941,5759194,6548482,4889284,4042177,5277392,5276053,6658770,7888530,6419436,3872640,2868109,0,100,"tower"
6002,9311957,7613785,6620519,3929165,5459308,8417241,9526941,9069730,9192829,9385103,8968248,8301388,100,"tower"
6004,2890119,1841870,2687799,1200639,2046851,1016810,3672406,3851339,3609192,1738033,2120577,2981469,100,"tower"
6009,5123191,2448878,3541400,1938048,0,2657595,3736042,4068351,4486332,1617794,3243337,2781557,100,"tower"
6018,2218602,1878995,2179250,0,1768638,1954593,2114337,2011906,2076601,67390,356364,2144684,100,"tower"
6019,2785732,2458407,3435248,650680,2140435,0,2939791,1008554,1013090,0,11363,938186,100,"tower"
6021,4311035,3990370,3724278,3038934,3183081,2268508,3694560,3731229,3291542,3830518,3916771,4169303,100,"tower"
6030,3421909,3066394,2540383,1622851,1844780,2354954,3413215,3238537,3065212,3151994,3251889,3445423,100,"tower"
6041,3207849,2403501,2234125,1536546,1751972,1921686,3694264,3470621,2958092,2706622,2162040,2817166,100,"tower"
6043,987140,1098292,1260508,1255205,1474736,1338426,1296965,1344853,1381379,1325067,1089831,1230161,100,"tower"
6052,1083104,115098,395109,145416,2364071,1139388,1070089,1241423,2569869,0,424013,448355,100,"tower"
6055,40198,0,187624,582496,1118340,1034047,1550443,1531786,1806763,1122831,942363,429108,100,"tower"
6065,2644600,2450102,2615917,1080930,1450257,1586979,2497054,2597450,2369123,1740374,2484974,2538928,100,"tower"
6068,4873803,4845573,2886377,1787121,2892902,4101665,4337297,3961196,4502084,2352609,2942016,2908916,100,"tower"
6071,4271367,4010716,3151807,1832665,2738077,3420735,3742438,3912565,3906943,2451836,2783334,4200598,100,"tower"
6073,1548024,1391982,1513925,821371,1596681,1578129,1673086,1568997,1327725,1149885,1465582,1551190,100,"tower"
6076,7663000,7132994,7967165,4288059,2863159,4551410,7170608,8172900,8070347,5569151,7656515,6736021,100,"tower"
6081,6153,461,533,4726,2422,4859,112066,51459,3049,3552,0,0,100,"tower"
6085,3494477,2511727,4491688,3505454,3879375,2840710,3227918,2483341,2861013,2082577,2026278,2227306,100,"tower"
6090,5692675,5090676,4265940,3441407,4612797,4864545,5830456,5168691,3923620,3072708,4148157,3973042,100,"tower"
6094,1960721,189619,566541,0,0,0,419565,1303897,979755,91,0,56,100,"tower"
6096,1834630,1754702,1670479,1946348,806786,1653733,1843307,1536130,1800334,1100767,1674990,1918892,100,"tower"
6112,824659,798098,704054,708639,779035,840554,964049,990316,845646,725346,972799,989881,100,"tower"
