month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
December,NA^ST,2010,0.3262397920866695,0.0,6.837820043753746,2010-12-01
January,NA^ST,2011,0.3260839082938257,0.0,6.842719950752366,2011-01-01
February,NA^ST,2011,0.32608390677015425,0.0,6.842719998668942,2011-02-01
March,NA^ST,2011,0.32608390396804476,0.0,6.842720086789968,2011-03-01
April,NA^ST,2011,0.326083906613637,0.0,6.842720003591113,2011-04-01
May,NA^ST,2011,0.3260839069374939,0.0,6.842719993406429,2011-05-01
June,NA^ST,2011,0.3260839070028064,0.0,6.842719991352475,2011-06-01
July,NA^ST,2011,0.32608390611789995,0.0,6.842720019181103,2011-07-01
August,NA^ST,2011,0.32608390548727245,0.0,6.842720039013141,2011-08-01
September,NA^ST,2011,0.32608390735806875,0.0,6.842719980180148,2011-09-01
October,NA^ST,2011,0.3260839064129564,0.0,6.842720009902137,2011-10-01
November,NA^ST,2011,0.326083907791096,0.0,6.842719966562264,2011-11-01
December,NA^ST,2011,0.3260839081818347,0.0,6.842719954274271,2011-12-01
January,NA^ST,2012,0.3256297831768111,0.0,6.857021240555023,2012-01-01
February,NA^ST,2012,0.3256297823292429,0.0,6.85702126728383,2012-02-01
March,NA^ST,2012,0.32562978013181826,0.0,6.857021336581547,2012-03-01
April,NA^ST,2012,0.3256297850615712,0.0,6.857021181117458,2012-04-01
May,NA^ST,2012,0.325629783312772,0.0,6.857021236267376,2012-05-01
June,NA^ST,2012,0.32562978311479657,0.0,6.857021242510704,2012-06-01
July,NA^ST,2012,0.3256297833973813,0.0,6.857021233599147,2012-07-01
August,NA^ST,2012,0.3256297853681144,0.0,6.8570211714503495,2012-08-01
September,NA^ST,2012,0.3256297868258633,0.0,6.8570211254789575,2012-09-01
October,NA^ST,2012,0.32562978569612633,0.0,6.857021161106205,2012-10-01
November,NA^ST,2012,0.3256297807444334,0.0,6.85702131726219,2012-11-01
December,NA^ST,2012,0.32562978110758906,0.0,6.857021305809757,2012-12-01
January,NA^ST,2013,0.3265601720269326,0.0,6.827764204081249,2013-01-01
February,NA^ST,2013,0.32656017177077334,0.0,6.827764212113493,2013-02-01
March,NA^ST,2013,0.32656017350613104,0.0,6.827764157698854,2013-03-01
April,NA^ST,2013,0.32656017278041244,0.0,6.827764180454807,2013-04-01
May,NA^ST,2013,0.32656017185425684,0.0,6.827764209495747,2013-05-01
June,NA^ST,2013,0.32656017415069627,0.0,6.827764137487585,2013-06-01
July,NA^ST,2013,0.3265601730069643,0.0,6.827764173350945,2013-07-01
