month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
August,biomass^ST,2010,0.1939430083504037,0.7815963944251207,9.987166459776851,2010-08-01
September,biomass^ST,2010,0.19727893693738133,0.7815963944251209,9.760595329180173,2010-09-01
October,biomass^ST,2010,0.19248272984573636,0.7815963944251212,10.088820431252712,2010-10-01
November,biomass^ST,2010,0.1954679316193518,0.781596394425121,9.882637171719237,2010-11-01
December,biomass^ST,2010,0.19749227621887372,0.7815963944251211,9.746364663275147,2010-12-01
January,biomass^ST,2011,0.19219827779999513,0.7815963944251209,10.108803986636628,2011-01-01
February,biomass^ST,2011,0.1899863407283818,0.781596394425121,10.266219722872028,2011-02-01
March,biomass^ST,2011,0.19231383588890516,0.781596394425121,10.10067903620727,2011-03-01
April,biomass^ST,2011,0.19287761640886184,0.7815963944251213,10.061183453235083,2011-04-01
May,biomass^ST,2011,0.19162445002311684,0.7815963944251209,10.149293416123896,2011-05-01
June,biomass^ST,2011,0.19410822240395903,0.781596394425121,9.975764925098938,2011-06-01
July,biomass^ST,2011,0.1962411652512876,0.7815963944251212,9.830251213897654,2011-07-01
August,biomass^ST,2011,0.19207653338885977,0.781596394425121,10.117374315145717,2011-08-01
September,biomass^ST,2011,0.19069105381710902,0.7815963944251209,10.21567472482029,2011-09-01
October,biomass^ST,2011,0.19100680190959066,0.7815963944251207,10.193142586714895,2011-10-01
November,biomass^ST,2011,0.19478600657354503,0.781596394425121,9.929181222094723,2011-11-01
December,biomass^ST,2011,0.19548986996863074,0.781596394425121,9.881142793077357,2011-12-01
January,biomass^ST,2012,0.19421567012168894,0.7815963944251209,9.968359610002752,2012-01-01
February,biomass^ST,2012,0.1964736508848257,0.781596394425121,9.814582886274815,2012-02-01
March,biomass^ST,2012,0.1939673674122922,0.7815963944251209,9.98548238047328,2012-03-01
April,biomass^ST,2012,0.1913781290799038,0.7815963944251211,10.1667446858385,2012-04-01
May,biomass^ST,2012,0.19120594666480786,0.781596394425121,10.17897416563945,2012-05-01
June,biomass^ST,2012,0.18970217971071973,0.781744602241598,10.289374994224033,2012-06-01
July,biomass^ST,2012,0.19050191186212778,0.7817997250054337,10.232843564988668,2012-07-01
August,biomass^ST,2012,0.19066925575756188,0.7818697672668367,10.222121011046514,2012-08-01
September,biomass^ST,2012,0.19059743112394487,0.781596394425121,10.2223638607181,2012-09-01
October,biomass^ST,2012,0.1915507857973084,0.7817298546520205,10.15688274566599,2012-10-01
November,biomass^ST,2012,0.19366228745865127,0.781596394425121,10.006591013931175,2012-11-01
December,biomass^ST,2012,0.1951574027758055,0.7815963944251206,9.903789781569547,2012-12-01
January,biomass^ST,2013,0.1970503319963619,0.7815963944251209,9.77587073413704,2013-01-01
February,biomass^ST,2013,0.19437930790026173,0.7815963944251209,9.957094500229614,2013-02-01
March,biomass^ST,2013,0.1955363225346455,0.7815963944251211,9.877985647068227,2013-03-01
April,biomass^ST,2013,0.19110165315572847,0.781651822853909,10.187378542256534,2013-04-01
May,biomass^ST,2013,0.19367787803436887,0.7815963944251209,10.005512301048295,2013-05-01
June,biomass^ST,2013,0.1897208421363067,0.781679652212885,10.286858412916509,2013-06-01
July,biomass^ST,2013,0.19061967939079794,0.781596394425121,10.22077326441637,2013-07-01
August,biomass^ST,2013,0.1967218821799107,0.7820909980323694,9.806469248661713,2013-08-01
September,biomass^ST,2013,0.19436237451723282,0.781596394425121,9.958259940168528,2013-09-01
October,biomass^ST,2013,0.19426899823472976,0.7816316825423958,9.965307171043545,2013-10-01
November,biomass^ST,2013,0.19996644765763275,0.7817269178057557,9.585782633510206,2013-11-01
December,biomass^ST,2013,0.19087140845145784,0.7817974121720227,10.206388817163157,2013-12-01
January,biomass^ST,2014,0.19536211110735469,0.7808916806989195,9.877526570999299,2014-01-01
February,biomass^ST,2014,0.19213103480061808,0.7807061588546859,10.09772725724961,2014-02-01
March,biomass^ST,2014,0.1960515522251064,0.7809167926465644,9.831230252842218,2014-03-01
April,biomass^ST,2014,0.19151720735852565,0.7810121625344827,10.14647495948852,2014-04-01
May,biomass^ST,2014,0.19122351236309826,0.7810737317882087,10.168396631035952,2014-05-01
June,biomass^ST,2014,0.1947453184932004,0.780417569654062,9.91131372567525,2014-06-01
July,biomass^ST,2014,0.19405801547636514,0.7806176641406045,9.962020772925213,2014-07-01
August,biomass^ST,2014,0.19689282165973027,0.7810055457531685,9.776185987391294,2014-08-01
September,biomass^ST,2014,0.19682660204787006,0.7811806947073554,9.783656532011339,2014-09-01
October,biomass^ST,2014,0.20067445748798354,0.7813563987396107,9.533623388084258,2014-10-01
November,biomass^ST,2014,0.19956267491349974,0.780989365953295,9.599469268107878,2014-11-01
December,biomass^ST,2014,0.19749308752896466,0.7811332051905948,9.738306494233631,2014-12-01
January,biomass^ST,2015,0.19695854235053503,0.7812458474665356,9.775947987947855,2015-01-01
February,biomass^ST,2015,0.19389608177886433,0.7807851543301779,9.976138461817683,2015-02-01
March,biomass^ST,2015,0.19390267381860055,0.7809959614847694,9.979390631830833,2015-03-01
April,biomass^ST,2015,0.19205014069215734,0.781108531842884,10.110563279626495,2015-04-01
May,biomass^ST,2015,0.19337226060612522,0.7808247867196239,10.013099526749533,2015-05-01
June,biomass^ST,2015,0.19496155797270606,0.7808571358785833,9.904226340454459,2015-06-01
July,biomass^ST,2015,0.1964952243425773,0.7807109765461824,9.797755917011976,2015-07-01
August,biomass^ST,2015,0.19785617188527752,0.7804843063999902,9.702987387385493,2015-08-01
September,biomass^ST,2015,0.19625706651134428,0.7807774988139596,9.814944648909709,2015-09-01
October,biomass^ST,2015,0.19856502009015614,0.781021700480039,9.66539836410558,2015-10-01
November,biomass^ST,2015,0.19773283587754342,0.7808324565563146,9.717172236825052,2015-11-01
December,biomass^ST,2015,0.19679350519723032,0.7809772671215847,9.782350380635206,2015-12-01
January,biomass^ST,2016,0.19579054726051295,0.7812911144524228,9.855409664052956,2016-01-01
February,biomass^ST,2016,0.19389561825861282,0.7809572811454689,9.979197170418606,2016-02-01
March,biomass^ST,2016,0.19630217819243861,0.781226715632582,9.819711438329858,2016-03-01
April,biomass^ST,2016,0.187788450515523,0.78115944827674,10.418371935531807,2016-04-01
May,biomass^ST,2016,0.19971018085876613,0.7811921587224588,9.593326780026695,2016-05-01
June,biomass^ST,2016,0.1976868422691198,0.7811100736131269,9.725016586610137,2016-06-01
July,biomass^ST,2016,0.20126029451183244,0.7812326161422681,9.493842188877256,2016-07-01
August,biomass^ST,2016,0.19740193741361758,0.7806836455930313,9.736607696917858,2016-08-01
September,biomass^ST,2016,0.19733430328113533,0.7811904764232116,9.749877000846057,2016-09-01
October,biomass^ST,2016,0.19520332826342135,0.7810379453896398,9.890895501725316,2016-10-01
November,biomass^ST,2016,0.19918646736306145,0.7809872391705374,9.624009916923221,2016-11-01
