,Plant_ID,WB_01,WB_02,WB_03,WB_04,WB_05,WB_06,WB_07,WB_08,WB_09,WB_10,WB_11,WB_12,DB_01,DB_02,DB_03,DB_04,DB_05,DB_06,DB_07,DB_08,DB_09,DB_10,DB_11,DB_12
326,2454,2.3928390559755246,4.300788721791128,8.235945219320813,11.989007088834775,15.800379950250829,19.691747358961827,20.54621399167633,19.652676573779626,18.67877400598305,14.412764418123915,8.380387704038453,4.773208808040536,5.729330388240826,8.59590644932201,12.862102489024895,19.004012151833606,22.063810899638902,26.511641633771568,29.358788699112466,29.307561961777154,26.6751783083499,20.008661341451006,13.020770769817686,9.457516252436557
327,2465,-1.8205806191701497,0.026424545750632213,2.6551902653897197,3.250467700491952,7.826537983636826,12.558742787442496,14.299530851176119,14.041859345704605,11.196454914014755,8.19162418463552,-0.2911490480760382,-4.150196672518852,0.5747123421734334,4.176242031035969,8.839883091238418,10.314012816589488,14.075438331053938,21.414834749574904,22.816477876323635,23.362773262823847,19.703107813981994,12.083283381724835,4.207554596709932,-1.4760507367078517
328,2480,-5.756207070341135,-9.385480744872075,-2.033905372010408,5.75743682304897,13.516512812961508,16.286742632807126,18.794533164039365,18.203746608859284,16.14706605496403,7.965772578581009,5.635864808143975,5.129453337903322,-4.0267982034043195,-8.62556399665242,0.35527031712412066,9.501832396805682,17.90300260385369,19.73214629313627,23.018267713820283,22.68888269365742,20.252377485730214,11.224277924247646,8.338847335848804,7.188894204692085
329,2490,-4.199174607443302,-7.181233284000343,-0.45879402212755593,6.820036800501925,14.15364529433771,17.095488405451007,19.740944526044828,19.05750110667352,17.50541495410072,9.539743268063155,7.372393361365038,6.871283760855734,-2.0872167288330523,-5.546185095318774,2.452948345631427,11.412833762146214,19.51419121295645,21.569482259085788,25.435130930159854,25.288161608777475,22.549789393051245,13.563260104426575,10.76576351339779,9.420931094406004
330,2493,-3.6030485093558093,-6.393804658751431,0.019921439703858682,6.946172847055475,14.036119512904715,17.208147760722895,20.023442736172335,19.509838359927464,18.023741703407993,10.080313658952397,8.026746830809508,7.460629687664931,-1.32931460842417,-4.630688123528117,3.058242068123867,11.707209807877835,19.292949785682765,21.87228656505183,25.959264337229484,25.93843199729786,23.08987153070132,14.28520624291681,11.42492087306587,10.174376272745326
331,2497,-5.194497079255211,-8.696154555253635,-1.5734376378059902,6.082754292507899,13.717746918171745,16.46777905951047,19.079798298189143,18.494870946613666,16.59218960598308,8.504640538942423,6.166064171791268,5.754171054400072,-3.3330346493857146,-7.443797602243049,1.026930995830934,10.106461511288582,18.48378238410262,20.34977826152862,23.87279388101278,23.703322990720537,21.125282604233803,12.078319051862715,9.188354628679777,7.948094293114437
332,2500,-3.5966926530138315,-6.364701900739505,0.043154120035290386,6.959576159070628,14.039107246217531,17.17201047807829,20.007461391562583,19.515721368648446,18.025728568395966,10.110052843212666,8.089212932642862,7.487368207571891,-1.3249003584284498,-4.585754668493296,3.096183240568366,11.749021261974361,19.359145436022416,21.86861714684895,26.013842677092818,26.006250070548997,23.155488944474843,14.357406238562437,11.50314159397885,10.227076153165177
333,2511,-3.2652042237628587,-6.11387930623411,0.11916621684764321,6.80131802695786,13.747966318768821,17.334746182274294,20.345586855997542,19.896007370138914,18.4160142607098,10.353924094944892,8.236930714479636,7.840182880183481,-0.976458521056591,-4.497789265477719,3.0132463388114648,11.266083859304507,18.13509783274497,21.573246338811465,25.66126225154313,25.746868048494022,22.760609263255432,14.205129861954289,11.32247384544491,10.121526738665578
334,2516,-3.5126078889023122,-6.777744318854509,-0.4059756389325164,6.365091786418225,13.52882518872284,16.920120830444006,20.335029044025777,19.954883142909566,18.13032830551864,10.104838499375596,7.749348693232552,7.58212205611284,-1.6701324565986249,-5.773171382605104,1.9125839866641312,9.772646729056577,17.116828617394894,20.2569494478389,24.466840893478455,24.497675773082356,21.715300429926884,12.941667116770493,10.138236624347838,9.325420091936866
335,2517,-3.534180427057815,-6.8426263369474265,-0.4760863879378995,6.301272644551857,13.465578011141835,16.84265559807306,20.321382953521205,19.989204065282188,18.071003825591006,10.032030799944437,7.663057774297861,7.54706706476649,-1.7565862465343625,-5.901709671563345,1.7883774886435826,9.598267179674236,16.988290328436655,20.050945926509716,24.320162618389585,24.30965013319544,21.553341223821526,12.740321128381089,9.93852547647035,9.202276470142865
