User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3954,3270,1120,5304185,5207570,3703986,213067,4699674,5415410,5180348,5398333,3835849,4615480,5188880,5415556,-2.44,-5.27,3.38,11.8,19.32,20.9,23.24,22.35,20.21,11.7,9.25,7.38,-4.28,-7.16,0.38,7.41,14.97,18.15,19.39,17.64,16.11,8.76,6.23,5.46,2,1.4,7.2,10.2,17.2,26.4,28.8,29.4,26.6,21.6,18.9,10,6.1,6.3,6.4,5.9,4.2,4.6,3.5,3.1,3.2,4.6,5.2,4.5
3982,605,1000000,186097,175666,122524,113091,225358,192723,182295,207904,144599,221018,157439,172159,-9.67,-14.18,-0.55,5.65,10.91,15.71,19.76,18.74,16.57,7.78,2.98,-1.24,-10.2,-14.33,-2.87,2.42,8.35,13.61,17.24,16.37,14.56,6.18,1.76,-1.73,0.4,0.2,1.4,6.7,13.1,16.9,21.3,19.8,17.8,9.4,4.8,1.5,8.9,8.7,8.6,8.7,7.1,5,6.2,6.6,6.5,7.3,7.7,8.6
3992,853,2753,6756,20900,7,0,91444,49152,103356,45762,78184,40162,2,0,-6.65,-11.77,1.36,9.14,15.77,19.56,21.47,20.91,19.54,10.87,5.64,1.74,-7.43,-12.13,-1.2,5.16,12.34,16.26,17.98,17.46,16.16,8.14,3.52,0.93,0.9,0.5,3.6,9.8,15.3,21,22.8,23.3,21.5,13.8,8,5.6,7,7.8,7.1,8.4,8.1,5.9,5.3,5.8,6.4,7.4,8.4,8.4
4040,591,1000000,755220,915427,687316,675996,696151,855715,895038,752349,632210,652301,811000,791846,-6.66,-11.44,0.58,7.13,13.89,17.72,20.5,20,18.83,11.04,5.9,2.2,-7.48,-11.92,-1.57,4.12,10.77,14.8,17.28,17.17,15.97,8.38,3.85,1.28,2.4,1,4.4,8.5,10,13.1,16.6,15,14.1,13.4,7.6,4.9,10.1,10.6,9.7,10.4,9.9,7.7,7.4,7.4,7.4,10.2,10.6,10.7
4041,597,1000000,3218935,2492143,2213686,1351470,2403204,2639723,3026270,3181752,3326272,2134142,1696671,2076216,-5.58,-10.34,0.76,7.75,13.97,17.72,20.89,20.72,19.68,11.97,6.78,3.26,-6.52,-10.76,-1.16,4.58,10.97,14.89,17.34,17.47,16.36,9.01,4.5,2.07,1.8,1.1,4,6.5,10.7,12.5,14.7,12.2,11.5,14.4,8.9,5.9,10,10.4,9.5,10.1,9.5,7.7,7.5,7.6,7.9,10.6,11,10.7
4046,603,1000000,5928129,5354800,5899676,5747698,5941255,5732927,5920230,5896060,5640423,3172904,5494766,5786327,-7.18,-11.93,0.61,7.27,14.26,18.22,20.56,19.84,18.62,10.64,5.54,1.7,-7.94,-12.46,-1.65,4.2,11.06,15.08,17.36,17.06,15.88,8.13,3.54,0.89,1.6,0.8,4,7.5,10,13,14.8,14.6,13.6,12.2,7,4.8,9.6,10,9.3,10.3,9.5,7.2,6.8,6.9,6.9,9.3,10,10.2
4050,588,1000000,1842367,1894817,1883338,1132544,1445381,2148570,2241597,2181416,2005159,1570444,1262704,1182225,-7.11,-11.88,0.33,6.69,13.6,17.63,20.24,19.58,18.35,10.63,5.49,1.75,-7.82,-12.33,-1.75,3.95,10.67,14.72,17.17,17.01,15.77,8.18,3.53,0.96,2.8,1.2,4.5,8.5,8.9,12.5,14.5,12.7,12,12.3,7,5.2,10,10.4,9.5,10.3,9.7,7.4,6.9,7,6.8,9.7,10.2,10.5
4072,589,1000000,232583,400054,283625,96348,75172,225823,431301,271359,288432,244963,52975,23523,-7.2,-11.95,0.69,7.42,14.44,18.38,20.65,19.91,18.69,10.64,5.54,1.68,-7.98,-12.49,-1.63,4.27,11.17,15.18,17.41,17.07,15.91,8.11,3.54,0.87,0.6,0.5,3.2,9.1,17.2,21.6,23.7,23.3,22.4,14.3,7.1,3.6,9.5,9.8,9.4,10.4,9.6,7.1,6.7,6.8,6.8,9.1,9.9,10.2
4125,607,1000000,59607,65718,61106,101751,79480,61212,88738,92820,68751,35010,117983,136439,-7.16,-11.92,0.56,7.15,14.13,18.1,20.49,19.79,18.57,10.64,5.53,1.72,-7.92,-12.43,-1.67,4.15,10.98,15.01,17.32,17.05,15.86,8.14,3.54,0.91,1.5,0.8,3.5,7.3,9.2,12.5,15.1,12.9,12.4,12.2,6.7,3.4,9.7,10,9.3,10.3,9.5,7.3,6.8,6.9,6.9,9.4,10,10.2
4937,851,6534,0,446785,615449,376408,575922,573944,611851,614079,612165,546531,440419,620107,8.84,10.44,17.01,21.49,23.97,26.91,29.26,30.16,28.09,23.24,16.36,13.62,5.87,7.51,12.67,18.1,21.06,23.24,23.94,23.22,21.72,17.42,13.39,10.79,10.8,12.8,17.2,15,23.9,28.3,29.1,29.6,28,23.7,19.3,15.2,3.7,5.1,4.3,5.4,5.7,4.6,6.6,4.4,4,4,4.4,4.3
6000,622,1000000,11322020,10270288,9821230,5608708,11041183,5581344,5987113,10616359,10464603,11194382,10705103,11330994,-5.56,-9.28,0.6,9.03,15.9,19.47,21.05,20.94,19.42,11.69,7.51,4.64,-6.27,-9.82,-1.03,5.84,13.16,17.08,18.08,17.91,16.35,8.87,4.96,3.52,2.8,2.4,4.1,11.4,17.1,19.9,22,22.4,20.6,14.4,9,6.1,9.5,9.1,8.5,9.3,8.2,6.7,5.8,6.3,5.5,8.8,10.3,10.8
6038,760,31872,11035915,8713042,11015357,10668297,11013636,10557307,10491353,10323021,7045233,8977390,10688909,11038349,4.51,2.67,11.93,16.25,21.51,25.96,27.2,25.95,22.55,15.61,12.49,12.5,1.49,-0.45,7.73,12.42,16.84,20.82,21.67,20.55,18.54,12.36,9.64,10.31,10.5,8.3,11.2,15.3,20.4,25.3,26.9,26.9,26.2,21.2,18.1,15.1,5,6.2,5.8,5.9,5.1,4.6,4.7,4.4,5.3,5.8,4.6,4.7
6043,27,6600,1143784,511552,1330363,1765301,1958966,2848212,2754089,2789624,3022725,2973144,2748286,1962169,18.78,17.45,22.95,25.26,25.78,27.56,28.24,28.17,27.63,25.72,25.03,23.65,15.97,14.43,19.62,21.69,21.77,23.78,24.2,24.66,24.53,21.96,21.73,21.31,21.1,19.2,24.3,26.2,27.5,28.9,28.5,29,28.7,26.8,25.9,24,8.3,9.3,8.4,8.1,9.3,7.3,7.1,5.9,5.1,8.3,9.5,9.2
6082,291,1000000,734323,1731368,563570,0,360,0,214485,159349,91588,0,0,0,-7.12,-11.52,-1.57,8.1,16.97,18.28,20.88,20.28,19.3,10.45,7.75,5.62,-7.69,-11.8,-3.06,4.81,12.92,15.66,17.41,16.89,16.14,7.8,5.21,4.17,1,1.1,1.9,4.6,11,11.8,20.1,20.7,18.8,13.9,10.6,7.2,12.5,11.5,10.5,10.8,9.5,8.6,7.4,7.8,7.5,10.4,10.5,9.9
6110,271,1000000,4169931,3795567,4196081,4051730,4196087,4048126,4074275,4042385,3920066,4151556,4052006,4188166,-7.8,-11.72,-2.79,7.59,17.22,18.21,20.95,20.86,19.45,9.7,7.46,5.18,-8.56,-11.88,-3.94,4.47,13.08,15.64,17.67,17.49,16.33,7.36,5.37,3.79,4,1.5,2.2,5.8,11,13.2,19.9,23.6,21.6,13.3,11.1,8.8,9.4,8.6,8.6,9.2,7,6.4,5.7,5.4,5.1,7.2,8,7.4
6122,272,1000000,2903815,2622486,2900496,2812403,2894905,2796796,2843260,2867343,2811604,1647048,2208979,2938459,-7.38,-11.47,-1.96,8.19,17.56,18.58,21.35,20.9,19.75,10.15,7.81,5.41,-8.09,-11.69,-3.39,4.82,13.19,15.79,17.75,17.43,16.5,7.65,5.42,3.96,1,0.6,1.6,5.8,10.7,11.3,18.4,21.8,12.1,13.3,10.5,8.3,10,9.3,9.2,9.7,7.8,6.7,6.1,6,5.9,8,8.9,7.9
6136,286,2770,846799,831650,1060078,1089365,964221,1068180,1229701,1222157,1133498,961763,910981,815500,8.68,10.38,15.46,21.57,24.35,27.44,29.4,29.48,26.97,22.81,16.62,14.32,6.03,7.76,12.97,18.44,21.18,23.44,24.39,23.41,21.85,17.51,13.97,11.95,10.8,12.8,16,21.8,24.2,27,29.4,29.6,27.9,24,18.8,15.5,6.7,7.8,7,7,7.8,5.6,7.3,5.4,4.6,6.3,6.6,6.9
6138,1155,530,1939728,1708841,1849114,549414,1054771,1578051,1739108,1599397,1599578,577242,1173640,1130192,3.7,1.79,10.78,16.54,20.01,26.21,28.26,25.62,23.82,17.31,11.64,8.69,0.68,-1.07,7.81,12.89,16.84,21.95,23.72,21.12,19.47,12.98,8.53,6.07,7.9,8.4,10.8,15.3,17.1,19.9,22.8,23.2,22.1,18.2,14.8,12.1,7.1,8.8,6.7,8.8,7.4,6.8,6.1,4.9,5,6,8.1,8.4
6146,312,5020,4810447,4374832,4047443,1398927,5012001,6626340,6867247,6680837,7111143,5009111,4543422,3217797,7.29,7.39,13.84,19.91,23.35,27.62,30.06,29.22,27.05,21.33,15.5,13.16,4.16,4.48,11.48,16.5,20,23.16,24.23,22.51,20.9,15.9,12.51,10.67,9.3,10.6,14.9,21,23.8,27.3,29.4,28.9,27,22.5,17.7,13.6,7,8.1,6.5,8.3,7.6,6.6,7.7,5.9,5.2,6.4,6.6,7.6
6147,380,2000,0,0,0,0,794335,4938250,9596986,5652246,2573809,2686680,2645664,2767940,7.06,6.97,13.49,19.43,23.02,27.46,29.89,28.95,26.76,20.97,14.92,12.66,3.94,4.1,11.24,16.2,19.88,23.22,24.3,22.37,20.7,15.66,12.15,10.26,8.5,9.5,14.1,20.5,23.1,26.6,29,28.4,26.3,21.5,16.2,12.3,6.9,8.2,6.4,8.2,7.8,6.6,8,6,5.3,6.2,6.7,7.4
6178,100,3200,1993120,982042,819630,1235,793373,1880872,2198177,2006005,1589447,2011673,1950099,797215,10.93,12.93,16.98,22.84,25.64,27.76,29.54,29.4,26.94,23.92,18.69,15.71,8.21,10.43,14.97,20.53,23.19,24.56,25.36,24.79,23.51,20.19,16.48,13.9,13.4,16,18.9,23.6,26.1,28.6,29.9,30.5,28.6,25,20.9,17.1,9.1,10,9.2,10.1,12.2,8.7,10,8.1,7.3,9,9.2,9.1
6180,434,2330,6219631,5242605,1370625,3268441,5677383,5879907,6286549,6413836,6019108,5946037,5963565,5833646,7.9,9.18,14.36,20.52,23.6,27.62,29.75,30.02,27.8,22.68,15.62,13.06,4.92,6.35,11.91,17.43,20.55,23.29,24.06,22.89,21.43,16.74,12.84,10.53,10.1,12.2,15.6,21.4,23.8,27.3,29.3,29.4,27.7,23.6,18.5,14.6,7,8.4,7.3,7.8,8.2,5.7,8.2,5.9,5.3,6.7,7.2,6.7
6181,492,3500,1706397,1169526,949858,1588799,1891143,1955040,2178551,2239417,1920035,1108590,568484,946205,9.52,11.85,16.01,21.92,24.7,27.47,29.71,30.7,28.91,24.52,17.54,14.62,6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,16.6,18.8,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
6213,490,1600,3299684,2872132,1747934,1550408,1789887,2442604,3231464,2277265,2096519,3011217,2910716,1849987,-2.42,-6.62,4.09,12.58,19,22.61,23.61,22.19,20.15,13.72,8.63,6.1,-3.61,-7.21,1.98,9.2,15.48,19.81,20.78,18.77,16.81,10.06,6.2,4.81,3,2.4,7,14.4,20.2,23.4,24.8,25.8,24.1,17.4,12.3,8.7,8.3,9.3,7.8,8.9,8.3,7.1,5.3,4.7,5.1,7.9,8.2,9.4
7097,490,3500,1245461,256081,28,223171,2988721,2804402,3095869,3171000,2571419,2612560,2392047,2220457,9.52,11.84,16.01,21.92,24.7,27.47,29.71,30.7,28.9,24.51,17.53,14.62,6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,16.6,18.9,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
8042,724,3863,5798625,6169240,6059606,2641463,3741249,5853962,6784388,5633208,5203763,4447535,3424029,2733123,3.56,1.13,10.54,15.74,21.36,25.8,26.3,24.89,22.1,15.04,12.24,11.74,0.67,-1.9,6.4,11.68,16.82,20.81,21.84,20.43,18.52,11.8,9.18,9.86,8.4,6,14.1,17.1,21.3,29.2,27.8,27.9,26.9,21.8,18.1,15.8,6.1,7.2,6.4,6.8,5.7,5.8,5.3,4.3,5.5,6.6,4.9,5
10075,633,1000000,777519,781974,698659,626645,625714,438097,454662,487835,512101,465575,434367,465553,-9.66,-14.92,-1.71,4.4,9.04,12.93,17.61,16.83,15.47,7.72,2.64,-1.79,-10.08,-15.11,-3.59,1.27,6.35,10.63,14.94,14.3,13.18,5.89,1.69,-2.42,1.1,0.4,1.3,3.8,9.1,7.8,15.6,12.8,14.2,10.3,5.1,3.5,8.8,8.5,8.2,8.1,7.2,4.8,5.6,6,5.8,8.1,7.9,8.6
10148,869,1000000,-3,9964,9665,1520,517,2778,5989,4938,6535,7295,4499,0,-10.07,-15.05,-1.58,4.91,10.35,14.13,18.24,17.37,16.06,7.69,2.71,-1.4,-10.39,-15.03,-3.56,1.76,7.65,11.9,15.61,15.05,13.84,5.9,1.7,-2,0.3,0.2,1.3,5.5,11.8,15.3,20.5,19.2,17.6,9.2,4.5,1.7,9.7,9.4,9.1,9,7.8,5.4,6.9,7.2,6.5,8.2,8.4,9.2
50450,254,1000000,21120,20162,37366,2171,17355,9812,36345,25337,25299,22918,31194,4997,-7.8,-11.69,-2.81,7.56,17.19,18.17,20.92,20.84,19.43,9.68,7.44,5.17,-8.57,-11.87,-3.96,4.45,13.06,15.62,17.65,17.47,16.31,7.35,5.36,3.78,2.1,1.1,2.1,5.5,12.9,17.1,21.5,23.7,21.9,14.3,9.8,6.3,9.3,8.5,8.6,9.2,6.9,6.3,5.7,5.3,5,7.1,7.9,7.3
55096,605,1000000,183937,171083,171134,149535,157734,147458,149685,150619,143911,149418,155551,164899,-5.22,-8.96,1.65,10.36,17.11,20.54,22.37,21.92,20.52,12.59,7.56,4.6,-5.94,-9.48,-0.49,6.51,13.51,17.59,18.64,18.09,16.75,9.17,4.97,3.56,3.4,2.1,5,12.2,17.3,20.2,23.1,23.5,21.6,15.4,9.4,7.2,9.6,9.8,9.1,10.2,9.2,7.7,6.5,6.9,6.8,9.5,10.4,10.7
55154,490,906,434274,295954,650645,245747,415241,620163,658887,709661,634657,601548,532194,497117,8.65,10.28,17.45,21.37,23.85,26.78,29.11,29.95,27.88,23.04,16.26,13.49,5.79,7.45,12.63,18.07,21.04,23.22,23.92,23.18,21.67,17.32,13.33,10.72,13.3,15.2,17.9,21.6,24.6,26.6,29,29.5,27.7,23.7,19.8,15.7,6.3,7.4,6.4,6.8,7.1,5,7.2,4.9,3.8,5.5,5.9,5.5
56068,580,1000000,3317688,2547908,2306168,2583960,3436964,2752408,3385793,3076317,1827774,1955247,3089635,2829173,-5.58,-10.35,0.76,7.76,13.98,17.73,20.89,20.72,19.68,11.97,6.78,3.26,-6.52,-10.76,-1.16,4.59,10.98,14.9,17.34,17.47,16.37,9.01,4.5,2.08,1.8,1.1,4,6.5,10.7,12.5,14.7,12.2,11.5,14.4,8.9,5.9,10,10.4,9.5,10.1,9.5,7.7,7.5,7.6,7.9,10.7,11,10.7
