User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum heat loading,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.04,1.05,0,lake,"Webster and Sherman, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load (MMBtu),,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed at 2m W (mph),,,,,,,,,,,
Plant ID,Elevation (feet),Pond Area (acres),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2589,261,1000000,"3,076,893","2,725,873","1,341,738","1,738,791","3,050,028","2,936,950","2,975,592","2,976,328","2,548,123","3,073,527","2,992,089","3,086,644",-8.56,-11.88,-3.94,4.47,13.08,15.64,17.67,17.49,16.33,7.36,5.37,3.79,-7.8,-11.72,-2.79,7.59,17.22,18.21,20.95,20.86,19.45,9.7,7.46,5.18,3,1.4,2.2,5.8,11,12.5,19.3,23.4,21.1,12.8,10.6,8.3,9.4,8.6,8.6,9.2,7,6.4,5.7,5.4,5.1,7.2,8,7.4
2594,253,1000000,"82,867","123,709","48,976",663,"47,251",0,"32,758","61,893","57,675",0,0,0,-8.56,-11.87,-3.95,4.46,13.06,15.62,17.65,17.47,16.32,7.35,5.36,3.78,-7.79,-11.68,-2.8,7.57,17.2,18.18,20.92,20.85,19.43,9.69,7.45,5.18,2.7,1.1,2,5.3,13.2,13.3,20.7,23.2,21.8,15.5,9.7,6.2,9.3,8.5,8.6,9.2,6.9,6.3,5.7,5.3,5,7.1,7.9,7.3
2718,567,13400,"710,406","2,117,384","368,601",0,"356,407","1,661,842","2,005,947","1,855,866","314,126","72,833","11,733","76,641",1.83,-0.01,8.1,12.86,17.06,21.04,21.91,20.79,18.89,12.7,9.99,10.92,4.78,3.13,12.31,16.68,21.64,26.39,27.53,26.21,22.92,15.86,12.76,13.12,8.7,6.8,9.2,16.4,21.7,28.6,27.9,27.8,26.5,17.1,16.9,14.9,5.2,6.6,6,6.1,5.3,4.9,5,4.7,5.5,5.9,4.8,5.1
2727,760,31872,"2,556,045","2,952,001","3,404,209","2,352,474","2,749,780","4,434,690","4,430,038","4,205,527","2,522,760","1,923,971","2,819,174","2,103,860",1.36,-0.66,7.58,12.22,16.73,20.7,21.55,20.45,18.39,12.21,9.48,10.04,4.41,2.46,11.75,16.08,21.44,25.79,27.07,25.8,22.37,15.53,12.35,12.22,6.9,5.9,7.6,14.4,19.6,18,25.9,26.1,25.2,20.1,15.7,12.8,4.9,6,5.6,5.7,4.9,4.5,4.4,4.2,5.1,5.6,4.4,4.4
2823,1962,660,"2,389,649","2,218,393","2,062,004","2,667,288","2,759,919","2,241,756","2,707,407","2,753,270","2,191,195","1,309,433","2,010,816","2,693,061",-8.39,-12.65,-1.12,3.27,8.06,14.92,17.56,15.83,12.79,5.9,-1.24,-6.04,-7.63,-12.26,1.68,6.99,11.94,18.82,21.57,20.7,17.32,9.11,0.65,-5.04,6.7,3.7,7.6,10.8,15,19.1,22.2,22.9,24.1,14.4,10.6,10.1,10.9,10.3,10.9,11.6,10.8,8,9.3,7.8,9.2,10.8,9.7,9.1
2835,606,1000000,"89,924","216,395","179,368","79,931",0,0,0,0,0,0,0,0,-6.96,-11.73,-2.41,5.5,13.37,16.5,17.67,17.06,16.25,8.55,5.51,4.6,-6.42,-11.28,-0.8,8.56,17.07,18.97,21.06,20.47,19.55,11.16,8.32,5.92,0.5,0.3,1.6,3.1,16.6,18.8,21.5,22.4,20.5,13.5,8.5,5.9,9.8,8.1,8,8.3,6.6,6.7,5.1,5.6,5.6,8.3,9.1,9
2836,596,1000000,"854,401","1,509,447","1,201,700","1,241,346","660,506","1,187,072","1,446,817","1,640,844","1,778,816","1,522,669","805,562","266,694",-6.2,-10.62,-1.1,6.78,14.06,17.45,18.28,17.54,16.52,9.06,5.75,4.93,-5.24,-10.18,0.86,9.97,17.85,20.32,21.65,21.15,20.13,12.25,8.74,6.53,0.7,0.5,2.2,9.2,16.4,20.6,23.5,24.1,22.5,16.7,10.4,6.9,12,10.6,9.9,10.5,8.9,8.6,6.9,7.5,7.7,10.8,11,11.1
2837,575,1000000,"1,224,634","1,149,487","876,025","246,749",0,0,0,0,0,0,0,0,-6.49,-11.09,-1.56,6.35,13.83,17.18,18.11,17.44,16.46,8.92,5.69,4.85,-5.74,-10.71,0.25,9.43,17.48,19.77,21.37,20.77,19.82,11.86,8.54,6.27,0.6,0.3,1.9,8.5,17.4,19.6,21.8,22.8,21,14,9,6.4,12.1,10.4,9.6,10.1,8.6,8.5,7.1,8,8.1,11.2,11.3,11.3
2838,579,1000000,"86,001","50,717","150,763","112,804",0,0,0,0,0,0,0,0,-6.1,-10.48,-1,6.83,14.15,17.53,18.34,17.6,16.64,9.16,5.8,5.04,-5.09,-9.93,1,10.13,17.95,20.49,21.84,21.39,20.31,12.34,8.86,6.59,0.6,0.4,2.1,7.8,17.6,20.1,21.9,22.9,21.2,14.1,9.3,6.7,13.2,11.4,10.1,10.6,9.3,9.1,7.9,8.9,9.1,12.4,12.3,12.3
2878,580,1000000,"666,120","701,526","758,215","708,637","710,298","641,674","727,443","695,603","755,184","588,850","771,106","142,930",-6.6,-10.4,-0.9,6.28,13.87,17.46,18.37,17.86,16.64,9.32,5.33,3.95,-5.37,-9.84,1.06,9.77,17.95,20.7,22.35,22.16,20.58,12.71,8.09,5.52,0.8,0.5,2.6,12.7,19.9,25.4,25.5,24.9,22.8,18.5,8.7,5.9,9.5,9,8.9,9.3,8,7.9,6.1,6.5,6.1,9.5,9.4,9.5
