User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,460,1426,4510817,4962676,3667349,1946984,2689976,3172943,3999148,4142799,3187787,2125946,790543,0,-4.38,-8.03,1.56,8.79,15.1,19.82,20.69,19.09,17.22,9.83,5.74,3.84,-3.5,-7.44,3.78,12.53,18.8,22.56,23.43,22.33,21.65,13.69,7.97,4.83,1.7,1.5,5.9,13.9,19.6,23.3,25.3,26.3,24.2,16.2,10.4,6.8,8.3,8.5,8.3,9.5,8.7,7.6,5.8,6.1,6.6,8.8,10.2,10.7
889,430,2000,5154637,5125110,5898369,4103117,3648137,5441741,6049137,6038413,4465613,3140736,3498888,4260184,-1.67,-4.69,4.42,11.08,16.13,21.02,22.44,20.22,18.18,11.17,7.33,5.55,0.29,-3.06,7.21,15.04,20.15,24.83,26.43,24.33,22.58,15.21,10.22,7.48,3.4,3.3,7.5,15.4,20.3,24,25.9,27.4,24.8,18.1,11.9,8.2,7.9,9.5,7.3,8.3,7.8,6.5,5.8,4.9,5.1,7.2,7.7,8.8
1241,850,2600,705539,0,120163,1904494,1721406,2245645,2214625,1884099,1899414,1459586,598511,1778450,-2.46,-4.87,4.58,10.26,15.02,20.68,22.16,20.1,18.47,10.59,6.18,2.9,0.07,-3,8.47,14.1,17.97,24.48,25.59,23.78,22.29,14.57,8.91,4.68,2.6,3,9,15.9,19.1,23.7,26.2,26.3,23.7,16.7,11.1,6.6,9.3,10.1,8.9,9.8,9.3,8.5,7.5,6.8,8.4,7.9,10.9,10.5
1416,180,38,0,0,5433,0,2239,5277,11367,7209,0,18490,0,0,3.87,3.95,11.27,16.27,19.78,23.06,24.24,22.45,20.87,15.76,12.54,10.76,6.92,6.72,13.46,19.59,23.14,27.56,29.88,28.84,26.74,21.03,15.48,13.08,9,10.2,14.8,21.1,24.5,27.3,29.5,28.9,26.9,22.3,17.8,13.6,6.1,7.3,6.1,7.7,7.2,6.6,7.5,5.2,4.4,5.6,6,7
1416,180,38,0,0,21733,0,8957,21108,45467,28836,0,73961,0,0,3.87,3.95,11.27,16.27,19.78,23.06,24.24,22.45,20.87,15.76,12.54,10.76,6.92,6.72,13.46,19.59,23.14,27.56,29.88,28.84,26.74,21.03,15.48,13.08,9,10.2,14.8,21.1,24.5,27.3,29.5,28.9,26.9,22.3,17.8,13.6,6.1,7.3,6.1,7.7,7.2,6.6,7.5,5.2,4.4,5.6,6,7
1915,690,7696,1206134,1391289,1013119,0,1030712,1391470,1491044,433251,1482465,1337931,1310042,1423000,-7.99,-12.32,-0.87,5.13,11.29,16.69,18.77,17.61,16.46,7.91,3,-1.61,-7.24,-11.34,1.8,9.63,14.74,20.68,22.83,21.25,19.66,10.98,5.19,-0.9,0.4,0.2,3.7,10.3,16.5,22.5,25.4,24,21.9,13.2,5.9,1.5,8.9,10.1,9.5,10.5,9,7.3,8.4,8.5,7.7,8.4,9.8,8.7
1915,690,7696,1218318,1405343,1023352,0,1041123,1405525,1506105,437628,1497440,1351446,1323275,1437373,-7.99,-12.32,-0.87,5.13,11.29,16.69,18.77,17.61,16.46,7.91,3,-1.61,-7.24,-11.34,1.8,9.63,14.74,20.68,22.83,21.25,19.66,10.98,5.19,-0.9,0.4,0.2,3.7,10.3,16.5,22.5,25.4,24,21.9,13.2,5.9,1.5,8.9,10.1,9.5,10.5,9,7.3,8.4,8.5,7.7,8.4,9.8,8.7
2018,1429,46.83195592,14372,8097,14650,27306,58144,60921,52146,58208,67373,72919,62739,59453,-10.48,-15.07,-3.38,1.61,7.1,12.02,16.03,15.07,13.54,5.92,1.4,-2.72,-10.05,-14.78,-1.17,5.08,10.03,14.52,19.1,17.87,15.98,7.82,2.68,-2.2,1.5,0.6,2.7,6.7,12.8,19.8,22.3,19.9,18.2,10.1,4.7,1.4,8.6,8.9,8.7,9,7.9,5.7,6.5,7.1,6.5,7.7,7.7,7.3
2053,360,361,0,0,22227,13980,14606,0,0,15593,0,14541,13457,0,4.42,3.4,12.72,16.74,19.27,22.72,24.21,22.11,20.41,15.69,13.09,12.11,7.42,6.4,15.7,20.21,23.19,26.96,29.12,28.5,25.96,20.31,16.07,14.37,7.8,8.7,14,19.9,23,27.4,29.2,29.2,26.7,21.3,16.7,14.1,7.1,8.1,6.8,7.3,6.3,5.2,5.3,5.7,4.7,6.8,6.9,7.8
2076,950,30,114130,148144,76521,108814,137236,157443,177013,133178,119241,23270,130034,163829,-1.06,-2.71,6.29,12.11,16.15,21.95,23.68,20.65,19.53,11.58,7.4,4.16,1.4,-0.1,9.61,15.48,18.65,25.61,27.14,24.18,23.02,15.71,9.87,5.82,4.3,4.3,9.7,15.8,18.8,22.6,25.6,25.3,23.6,17.5,12,7.6,7.9,9.3,7.4,9.3,8,7.8,6.9,5.3,6.7,6.5,9.7,9.2
2076,950,30,456520,592575,306083,435257,548942,629771,708053,532710,476966,93080,520137,655317,-1.06,-2.71,6.29,12.11,16.15,21.95,23.68,20.65,19.53,11.58,7.4,4.16,1.4,-0.1,9.61,15.48,18.65,25.61,27.14,24.18,23.02,15.71,9.87,5.82,4.3,4.3,9.7,15.8,18.8,22.6,25.6,25.3,23.6,17.5,12,7.6,7.9,9.3,7.4,9.3,8,7.8,6.9,5.3,6.7,6.5,9.7,9.2
2161,1150,350,213983,14652,0,0,0,30796,116079,317514,310206,205880,0,0,-0.86,-3.5,5.72,11.25,15.9,21.15,22.9,20.04,18.27,11.36,7.12,4.78,1.83,-1.21,8.6,14.71,19.21,24.57,26.56,23.81,22.55,15.52,10.2,7.04,6.1,4.9,9.5,15.2,20.6,23.2,24.9,26.3,26.3,21.7,12.6,10,8.6,9.7,8.4,9.9,9.5,7.9,6.8,6.5,7.3,7.8,9.8,10.2
2161,1150,350,225245,15424,0,0,0,32417,122188,334225,326533,216715,0,0,-0.86,-3.5,5.72,11.25,15.9,21.15,22.9,20.04,18.27,11.36,7.12,4.78,1.83,-1.21,8.6,14.71,19.21,24.57,26.56,23.81,22.55,15.52,10.2,7.04,6.1,4.9,9.5,15.2,20.6,23.2,24.9,26.3,26.3,21.7,12.6,10,8.6,9.7,8.4,9.9,9.5,7.9,6.8,6.5,7.3,7.8,9.8,10.2
2330,4320,200,8537,19942,35233,45405,95868,298633,322770,324694,192935,196172,127173,221730,1.19,3.52,4.83,4.71,9,12.76,14.13,12.63,10.05,9.79,1.24,-0.01,5.29,8.18,11.24,11.12,15.07,22.6,23.3,23.48,20.37,16.15,4.83,2.45,2.2,6.2,10.3,13.3,17,22,21.8,21.2,16.4,12.7,4.7,2.4,3.2,5.9,5.5,7.1,6.6,6.1,5.8,6,5.4,4.5,5.1,7.2
2336,4280,42,117895,19331,111680,22826,90432,278087,179920,165730,53,228568,113537,0,1.74,3.87,5.05,4.82,8.82,12.74,14.1,12.64,10.19,9.8,1.46,0.25,5.95,8.46,11.24,11.03,14.74,22.31,22.97,23.14,20.22,16.16,5.02,2.52,4.2,7,10.5,13.1,16.8,22.5,22.8,21.9,18.5,14.5,5.6,3.2,2.8,5.6,5.4,7.2,6.9,6.4,6.2,6.3,5.4,4.2,4.8,7.1
2442,5350,1275,3775256,3506189,3487095,4974945,4285878,4225066,5239740,4367760,3120503,5178792,4901644,4269041,-2.19,-0.35,2.35,2.91,7.53,12.29,14.09,13.74,10.86,7.85,-0.59,-4.67,0.08,3.63,8.17,9.59,13.3,20.66,22.09,22.6,18.97,11.91,3.63,-2.37,3.9,6.3,10.1,12.5,14.5,15.1,19.4,19.3,16.4,12.9,6.2,2.6,5.4,7.1,7.1,8.3,7.8,6.8,6.9,7.2,6.2,6.7,7.4,6.7
2706,2173,320,1020199,1095148,856636,527867,586497,985010,1012648,863730,740813,607291,894631,696904,1.88,-0.05,8.34,12.8,16.93,20.88,21.79,20.6,18.39,12.43,9.84,10.28,5.16,3.19,12.57,17.15,22.06,25.97,27.44,26.02,22.55,15.84,12.81,12.58,4.7,3.2,9.8,13.9,18,20.7,23,22.6,19.6,13.9,11.1,10.2,8.1,9.8,8,6.8,5.8,4.9,4.9,4.9,3.9,4.5,6,6.3
2712,430,3750,4158338,5039284,2263076,1534995,3352307,4774030,5103986,4331534,2552585,2421703,1524939,1303527,0.52,-2.28,5.95,11.72,16.99,21.09,22.12,20.37,18.82,11.81,9.35,9.93,3.18,0.53,9.78,15.49,20.9,25.32,25.88,24.7,22.11,14.67,12.01,11.77,7.1,4.9,12.2,16.6,21,28.9,28.1,26.9,25.9,20.8,17.1,14.4,4.8,6.1,5.4,5.5,4.8,4.8,4.2,3.5,4.7,5.4,3.9,4
2951,1072,300,118472,0,48922,96820,32040,84341,276422,112161,100783,126864,116823,109,0.66,0.2,7.93,13.19,16.38,21.7,23.37,21.25,19.65,12.86,8.04,4.78,4.01,3.6,11.77,16.91,19.55,26.54,28.05,26.83,25.58,18.03,11.05,7.45,6.3,7.2,12.6,18.5,20.2,26.6,28.4,27.1,25.3,19,13.1,9.1,8.9,10.7,8.8,11.4,10.5,9.9,9.9,8.7,10.1,8.7,12.3,11.2
3251,226,2250,3823465,3454902,3792631,3610277,1323737,493542,3579530,3579344,3520914,3730265,2144399,3785421,3.68,1.77,9.9,14.58,18.06,22.22,23.06,22.21,20.57,14.57,11.86,12.7,6.62,5.04,13.86,18.46,22.65,27.86,28.69,27.04,24.21,17.74,14.32,14.91,8.5,7,12.3,18.1,22.4,28.1,28.9,29,26.2,19.2,15.9,13.9,5.9,7.3,6.6,6.5,5.6,5.8,5.8,4.5,5.7,6,4.7,5
3457,272,1000,658204,775986,909458,1045828,1116977,1313129,1413977,1298174,1149858,1075575,1750605,852308,6.21,7.98,13.29,18.61,21.23,23.2,24.31,23.24,21.54,17.43,14.23,12.1,8.72,10.31,15.65,21.67,24.35,27.22,29.23,28.79,26.12,21.98,16.61,14.23,10.8,13.4,16.3,21.4,24,26.8,29.4,29.2,27.6,23.6,18.6,15.5,5,6.3,5.7,6,6.5,4.6,5.9,4.4,3.8,5.2,5.2,6
3470,71,2140,3260306,3169937,4123067,4389015,3725952,4870404,5098898,5373257,4643937,4377771,2712280,1970537,7.67,9.7,14.68,19.81,22.45,24.07,25.05,24.16,22.94,19,15.84,13.93,10.19,12.13,17.18,22.61,25.46,28,29.69,29.25,26.73,23.42,18.39,16.05,12.1,14.2,17.4,22.9,25.5,27.9,29.9,30.2,28.3,24.7,19.9,16.8,7.7,8.9,7.7,8,9.1,6.4,6.9,5.3,4.9,7.2,7.6,8
3507,286,740,8638,9782,4822,252,1911,5019,93577,115131,10,6037,3434,10,4.45,5.37,11.4,16.73,20.06,23.16,23.92,22.44,21,16.11,12.22,10,7.98,8.57,14.02,19.95,23.13,27.66,30.1,29.87,27.63,22.02,15.07,12.84,9.5,11.6,14.7,20.9,22.8,27.4,29.1,28.7,27.1,22.7,17.6,13.3,7.6,8.5,7.2,8.3,8.2,6.8,8.3,6.7,6,7.3,7.3,7.6
3548,564,756,0,0,726,3789,2827,12155,3407,20862,16392,23535,20092,6965,5.75,7.4,12.58,18,20.97,23.19,23.89,23.13,21.65,17.3,13.26,10.7,8.66,10.25,17.36,21.38,23.8,26.8,29.16,30,27.88,23.04,16.2,13.5,13.6,15.5,18,20.7,23.9,26.3,28.8,28.9,27.2,23.3,19.7,15.8,6.2,7.3,6.3,7,7.1,5.2,7.5,5.3,4.7,5.5,5.9,5.4
3612,514,1350,0,11276,63832,2483,15613,16907,157273,225403,166327,70205,52018,87448,6.38,8.41,13.21,18.51,21.53,23.36,23.93,23.48,22.18,18.29,14.2,11.31,9.51,11.88,16.01,21.93,24.7,27.46,29.71,30.7,28.93,24.55,17.58,14.65,16.5,18.7,19.5,23.7,24.9,27.5,29.3,29.9,28.6,24.8,21,17.8,6.8,7.9,6.8,7.6,9.4,6.6,9.4,6.8,6.4,7.4,7.1,6.4
3628,887,1000000,0,0,0,0,10410,116924,307101,320934,81965,63470,99,49796,3.09,4.27,10.39,15.57,19,22.43,23.22,22.07,20.55,15.04,10.6,7.42,6.6,7.4,13.35,18.63,21.84,27.18,29.2,29.54,27.26,20.91,13.87,10.8,7.8,10.4,14.3,20.2,22.2,27.2,28.9,28.4,26.4,21.6,15.5,11.2,7.6,8.6,7.2,8.8,8.8,7.2,8.2,6.4,6.7,7,8.2,7.8
4195,519,358,2631,4449,6952,3332,20242,23816,41301,48255,16525,3953,1972,843,3.4,4.26,10.78,15.77,19.26,22.76,23.61,22.24,20.84,15.54,11.2,8.54,6.67,7.2,13.4,18.75,22.06,27.71,30.18,30.18,27.52,21.24,14.28,11.3,8,9.2,13.6,19.7,21.8,26.6,28.9,28.1,26.2,21.5,16,11.8,6.7,8.4,6.4,8,7.9,6.6,8.1,6.1,5.6,6.1,7.1,7.2
6016,578,1000000,971815,913124,1203087,892190,862336,1230581,988874,805734,1313690,1044680,1022810,929368,-4.23,-7.99,2.05,8.97,15.01,19.92,20.9,19.25,17.43,9.91,5.85,3.67,-3.1,-7.34,4.64,12.88,18.47,22.43,23.83,22.55,21.79,13.74,8.18,4.7,1.8,1.5,5.5,13.8,19.3,23,25.2,26,24,16,10.3,6.6,8.4,8.7,8.4,9.6,8.8,7.4,5.8,6,6.7,8.7,10.4,10.7
6017,545,2021,2058140,2658899,1874283,1586161,2811730,3165932,3224495,2951276,2336221,2513045,1153230,1424269,-3.78,-7.33,1.72,9.15,15.39,19.87,20.67,18.8,16.9,9.95,6.2,4.52,-2.68,-6.72,3.84,12.52,18.97,22.68,23.61,22.54,20.25,13.86,8.52,5.77,4.1,3.2,10,17,21.9,26.9,29.2,29.2,25.6,19.2,14.4,9,9,10.3,8.4,9.6,8.9,7.5,5.7,5.5,5.8,8.9,9.1,10.2
6022,600,1269,12063029,10891335,11521661,8091530,11964016,11500338,11766184,11837123,11418703,8061528,11666302,12040599,-5.88,-9.97,-0.21,6.34,13.07,17.12,18.59,18.1,16.94,9.34,4.83,3.13,-5.1,-9.65,2.18,10.34,16.58,20.58,22.76,22.07,20.81,12.77,7.25,4.35,1.9,1.7,6.4,13.3,19.4,21.4,24.2,25.4,23.2,15.8,10,7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.3,10.3,11,11.4
6026,708,1029,11719466,5462286,8397696,11302759,11228089,10884057,11298526,9611554,10860219,11628113,11317418,11677837,-5.96,-10.1,-0.28,6.31,13.06,17.11,18.59,18.06,16.91,9.31,4.77,3.11,-5.22,-9.84,2.08,10.27,16.53,20.56,22.66,21.93,20.7,12.69,7.14,4.3,1.9,1.6,6.6,13.6,19.5,22,24.7,26.5,24.7,16.5,10.7,7.2,10,10.5,9.4,10.7,10.1,8.1,6.9,7.1,7.2,10.2,11,11.4
6035,756,100,12674,62320,31593,0,0,83941,337951,116605,166889,0,1741,0,-7.16,-11.31,-1.71,5.45,13.08,16.23,17.83,17.44,16.23,8.73,4.82,3.17,-6.12,-10.81,0.64,8.89,16.92,19.59,21.85,21.37,19.98,11.85,7.31,4.44,0.5,0.3,1.6,6.5,13.1,17.9,21.1,21.8,20.4,13.2,8,5,9.4,8.8,9.2,9.2,8.1,7.6,6.2,6.9,6.5,9.3,9.2,9
6042,52,4000,1142867,1179299,1900536,2935195,3102038,2521919,3017894,3217280,3261655,3526622,2862440,1855897,14.19,12.69,18.92,21.57,21.63,23.92,24.63,24.94,24.49,21.57,20.77,19.66,17.13,15.59,22.47,25.24,26.66,28.13,28.26,28.5,28.09,25.55,24.1,22.35,19.2,18.4,24.4,27.9,28.5,30.9,31.3,31.1,30.4,26.6,24.9,22.6,8.2,8.9,7.8,7.8,8.4,6.9,7.4,7,6.9,8.1,8.8,8.6
6073,51,1200,358194,511623,167508,1296934,2239250,2261842,2659889,2650878,1207612,266101,541221,227248,7.19,6.55,15.48,19.19,20.66,23.7,24.96,23.95,21.75,17.55,15.41,14.72,9.73,9.16,17.96,21.34,23.57,26.81,28.62,27.55,25.11,20.72,17.52,16.15,11.1,11.7,16.6,21.8,24.6,28.4,30.3,30.7,29,24,19.2,16.4,6.9,7.8,6.6,5.9,5.6,4.4,4.1,4.5,4.3,6.3,6.8,7
6077,3134,217,4235507,3939120,3846552,2754912,2606701,3983026,4432549,3831686,3582676,3444228,3392630,3684531,-4.83,-4.43,1.63,6.94,10.67,17.78,18.88,17.72,15.75,8.22,1.19,-2.78,-2.06,-1.85,6.81,10.78,13.66,21.78,23.88,21.82,20.95,12.7,4.07,-0.84,0.7,2.1,6.7,11.5,15.1,20.1,19.9,18.4,17.3,14.1,7.8,3.8,9.5,9.6,9.4,11,11,8.2,7.9,7.9,7.9,8.8,9.2,9.4
6095,935,5400,3150886,3075134,2254198,3432766,1844329,3208222,3698912,3599717,2599917,2567735,298895,602125,-0.52,-1.46,6.92,12.42,16.03,21.64,23.33,20.88,19.61,12.13,7.59,4.22,2.2,1.73,10.57,16.39,18.91,26.64,28.14,25.88,24.83,16.97,10.59,6.49,4.5,5.5,11.4,16.9,19.4,25.2,27.4,25.8,23.3,17.5,11.9,7.4,7.8,9.5,7.8,10.2,9.3,8.6,8.4,7.7,8.8,7.3,10.2,9.2
6098,1130,350,1372626,1242489,0,0,0,0,0,1131259,978210,1065470,1005406,1072111,-8.25,-12.26,-0.97,4.37,9.76,16.24,18.32,17.05,14.91,6.97,1.19,-4.9,-7.7,-11.77,1.46,8.67,12.72,20.01,21.95,20.13,18.56,10.55,3.47,-4.43,0.8,0.5,2.7,9.3,15.7,21.2,24.7,23.2,21,12.6,4.7,1.5,12.1,11.9,12,12.7,11.8,8.8,9.1,9.2,9.5,11.1,11.5,10.9
6106,696,1250,123372,5,5,5,416,1379039,1644647,1841043,1730181,1738000,1572846,1934346,1.54,4.43,6.36,6.1,11.43,14.54,15.37,14.41,11.15,10.15,2.52,1.91,2.67,6.71,10.01,10.58,17.1,23.85,25.23,23.32,17.2,14.02,4.5,3.19,4.1,5.5,7.4,9.3,12.3,16.6,19.2,19.6,16.7,13.5,8.6,4.8,3.5,5.1,5.7,6.4,5.7,6.7,6.3,5.9,5.1,5,5.4,6.3
6113,412,2950,7355146,8551142,6543000,5967330,5436073,7034883,7398685,7821524,6760231,6114427,5484834,7338371,-2.1,-5.58,3.55,10.46,16.05,20.41,21.88,19.56,17.51,11.09,7.24,6.11,-0.54,-4.42,6,14.1,19.69,23.81,25.15,23.1,21.68,14.82,9.83,7.8,3.8,3.1,7.6,14.6,20.1,24.7,25.8,26.9,25.3,18.4,13.1,8.9,8,9.4,7.6,8.5,7.9,7.1,5.9,4.8,5.2,7.4,7.3,8.8
6127,435,1000000,4610527,4293149,4746741,4586902,4738908,4559547,4691721,4680033,4538223,255643,0,4287119,3.11,1.38,9.52,14.16,17.62,21.74,22.67,21.72,19.96,13.96,11.28,12.11,6.03,4.68,13.55,18.14,22.47,27.38,28.48,26.99,23.48,17.1,13.67,14.49,7.7,7.1,13,18.4,23.3,28.2,28.8,28.7,25.3,18.5,14.8,13.2,4.9,5.9,5.6,5.6,4.5,5.1,5.2,4,4.4,4.3,3.7,4
6139,347,1365,4094285,3639737,2489976,1973433,1894160,3784155,3699112,3947705,3837657,2535169,2211911,1886655,3.72,3.8,11.02,15.97,19.66,23.11,24.24,22.29,20.65,15.57,12.02,10.18,6.89,6.67,13.21,19.18,22.81,27.37,29.8,28.68,26.55,20.8,14.75,12.5,8.7,9.6,14.2,20.7,23.4,26.5,29,28.4,26.4,21.6,16.5,12.4,7,7.9,6.5,8.3,7.6,6.6,7.9,6,5.3,6.4,6.7,7.6
6139,347,1365,4135642,3676502,2515128,1993367,1913293,3822378,3736476,3987581,3876421,2560777,2234254,1905712,3.72,3.8,11.02,15.97,19.66,23.11,24.24,22.29,20.65,15.57,12.02,10.18,6.89,6.67,13.21,19.18,22.81,27.37,29.8,28.68,26.55,20.8,14.75,12.5,8.7,9.6,14.2,20.7,23.4,26.5,29,28.4,26.4,21.6,16.5,12.4,7,7.9,6.5,8.3,7.6,6.6,7.9,6,5.3,6.4,6.7,7.6
6145,837,1365,11857700,10703427,11828001,11436461,11795448,10942175,11681954,11648673,11308970,6316019,8813637,11837855,3.27,4.4,10.51,15.74,19.15,22.52,23.33,22.12,20.7,15.22,10.79,7.71,6.76,7.43,13.42,18.73,22.01,27.58,29.71,30.02,27.52,21.09,14.06,10.99,8.6,11.1,14.5,20.6,22.9,27.4,29.2,29,27,22.4,16.9,12.4,7,7.9,6.7,8.3,8.4,6.7,8.2,6.2,6.3,6.5,7.6,7.1
6179,360,2400,3824239,2687720,3279551,3358334,4454943,5316527,5773545,5396248,5143260,3582809,2813648,2792514,5.73,7.41,12.6,18.05,20.99,23.31,24.05,23.21,21.75,17.31,13.38,11.04,8.54,10.18,16.83,21.34,23.87,27,29.21,29.87,27.65,23.04,16.26,13.71,12.7,14.7,17.7,22.3,25.1,26.9,29.3,29.8,28.1,24.2,19.7,16,5.9,7,6.1,6.1,6.9,4.4,6.2,4.1,2.7,5.2,5.6,5.7
6190,111,3500,2495744,2758953,2158478,2349911,2698898,1783358,3497150,3558396,3309268,2075670,984295,2328967,5.43,5.61,13.48,18.18,20.92,23.44,24.7,23.09,21.53,16.57,14.61,12.79,7.96,8.5,15.82,20.82,24.14,27.28,28.09,28.54,26.43,21.24,17.1,15.15,12.6,13.1,16.6,23.4,26,29.8,31.2,31.2,29.3,24.1,20.1,17.3,5.5,6.4,5.8,6.1,5.7,4.8,4.6,4.1,3.7,5.7,5.8,6.9
6243,350,850,53612,18408,87654,86151,53111,88644,92999,98133,87540,35962,85825,85402,5.96,7.68,12.87,18.36,21.15,23.49,24.39,23.43,21.92,17.52,13.87,11.89,8.66,10.37,15.4,21.53,24.3,27.49,29.44,29.67,27.22,23.03,16.6,14.31,10.6,12.3,15.4,21.7,24,26.7,29.4,29.8,28.2,24.3,19.3,15.7,6.8,8.2,7.1,7.4,8.1,5.3,7.3,5.4,4.7,6.5,7,6.7
6249,20,400,1522739,1542533,353514,885689,1169012,1401064,1601894,1500089,941894,71255,380738,227457,5.27,3.19,11.09,15.82,18.92,23.34,24.02,23.27,21.73,16.19,13.73,14.09,8.39,6.16,14.21,18.97,22.48,27.68,28.25,26.89,25.09,19.05,16.27,16.35,9.8,8.1,13.7,19.8,23.7,29.1,30.1,29.3,26.6,20.1,16.9,15.3,7.1,8.7,8.3,8.2,7.8,7.9,7.4,6.2,7.2,7.5,6.2,6.5
