User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,620,1000000,997027,1386955,295819,262221,1720641,1551713,1698138,1611641,1073631,0,0,0,4.56,2.4,12.42,17.21,21.72,26.19,27.33,25.5,22.94,16.9,13.48,12.16,1.91,-0.29,9.33,13.91,17.63,21.56,23.09,21.2,19.14,13.76,10.82,10.37,7.6,6.4,10.5,15.6,20.8,23.8,25.1,25.8,22.5,17.1,14.5,13.3,5.7,7.4,6,5.9,4.8,4.4,4.5,4.5,3.7,4.7,5.1,5.1
79,446,1000000,183721,158457,119111,109533,193213,190990,192836,198564,187137,216397,198333,205550,-7.45,-4.71,-1.3,4.82,10.89,15.25,16.14,14.7,8.19,5.14,-4.21,-5.8,-8.29,-6.17,-3.59,1.6,7.18,10.81,12.38,10.93,6.23,3.56,-5.44,-7.45,0,0,-0.1,0.1,6.4,11.4,12,9.5,4.5,0.8,0,0,2.4,2.5,3.6,5.5,5,5,4.8,4.8,4.2,4.3,3.2,2.8
201,374,1000000,0,11570,0,0,0,0,140395,30612,0,0,10884,22354,3.71,1.7,10.45,16.45,20.27,25.94,28.02,25.43,23.61,17.41,11.85,9,0.69,-1.22,7.62,12.79,16.84,21.77,23.54,20.99,19.09,12.84,8.46,6.25,5.9,5.8,9.9,17.6,20,24.9,27.2,28.2,25.6,19.1,14.4,11.1,5.6,7.2,5.2,6.9,5.9,5.3,4.8,4.1,3.9,4.8,5.6,6.5
201,374,1000000,0,13611,0,0,0,0,165170,36015,0,0,12805,26298,3.71,1.7,10.45,16.45,20.27,25.94,28.02,25.43,23.61,17.41,11.85,9,0.69,-1.22,7.62,12.79,16.84,21.77,23.54,20.99,19.09,12.84,8.46,6.25,5.9,5.8,9.9,17.6,20,24.9,27.2,28.2,25.6,19.1,14.4,11.1,5.6,7.2,5.2,6.9,5.9,5.3,4.8,4.1,3.9,4.8,5.6,6.5
202,210,1000000,0,0,324,2763,0,8559,0,138418,72006,9873,6348,0,4.19,1.82,10.63,17.41,21.74,26.23,28.26,26.03,24.22,18,12.99,10.77,1.38,-0.78,8.18,13.92,17.86,22.34,24.22,21.65,19.36,13.55,10.13,8.67,6.2,6.1,8.1,15.6,19.5,23.4,26.6,23,20.8,17.3,11.4,12.3,6.6,7.9,6.2,7.5,6.2,5.8,5.5,4.5,4.5,6.2,5.8,7
203,120,1000000,40089,0,0,64851,0,128963,155794,110423,27492,88620,1565,0,5.41,4.12,13.45,18.38,22.37,26.72,28.74,27.44,25.1,19.3,14,11.58,2.64,1.67,9.89,15.29,19.15,22.85,24.52,22.16,19.94,14.54,11.56,9.82,6.2,8.3,12.7,18.9,22.4,25.6,28.7,29,28.2,24.4,18,13.1,5.1,6.2,5.1,6.3,5.2,4.6,4.7,4,3.7,5,4.6,5
271,10,1000000,0,5325,38047,484828,37784,85629,100898,101172,87594,49535,58954,53075,9.8,12.73,14.5,14.47,15.62,20.16,21.78,21.95,20.69,18.9,10.67,8.59,7.67,10.25,11.01,10.28,11.64,14.89,16.16,16.17,14.48,14.24,7.62,7.13,8.8,7.3,9.1,17,17.7,19.8,21,20.9,19.8,18,13.7,10,3.4,5.5,5.1,7.8,10.6,9.2,10.4,8.9,7,5,5.1,5.8
384,510,1000000,1924893,2144698,2038958,603429,2212898,1839445,2302957,2371432,2402726,2257631,1869967,383352,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4
384,510,1000000,2749848,3063854,2912797,862041,3161283,2627778,3289938,3387760,3432466,3225187,2671382,547646,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4
562,20,1000000,3142,386225,1883,27202,345153,294427,705308,633041,303330,46028,0,0,-4.44,-8.86,0.05,8.99,17.93,19.46,23.48,23.45,20.81,11.54,8.43,7.22,-5.93,-9.47,-2.11,5.55,13.39,15.87,19.41,19.2,16.83,8.48,5.86,5.27,0,0.3,1.4,7,17,20.5,24.1,26.6,23.2,13.9,8.7,5.8,7.2,7.1,6.4,7.2,6.5,5.7,4.5,4.5,4.8,5.8,5.3,5
638,60,1000000,230776,229875,251429,328493,314657,358268,383707,433613,357650,301530,243862,275368,12.22,11.27,19.62,23.11,25.05,27.69,28.63,28.34,26.51,22.62,21.04,19.37,9.43,8.36,16.12,19.59,20.22,23.34,24.5,24.55,22.96,18.81,17.92,16.49,12.3,12.4,18.3,21.4,22.9,24.3,24.3,25.6,24.2,22.6,20.6,18.4,4.8,5.6,4.8,4.5,4.5,3.5,3.7,3.5,4.4,5,5,4.9
641,25,1000000,134598,103433,115199,86614,108884,93694,85676,42617,0,4035,0,0,10.77,10.11,18.25,21.95,24.5,27.23,29.22,28.2,26.24,21.86,18.75,17.47,8.04,7.17,15.68,19.58,21.17,23.84,24.87,24.15,21.86,17.99,16.03,15.41,11.7,12.2,17.2,21.7,24.3,27.8,29.5,30.5,28.3,23.3,18.9,16.9,7.8,9.2,8,7.3,6.9,6.3,6.2,6.1,6.1,7.7,7.2,8
641,25,1000000,269197,206866,230398,173228,217767,187389,171353,85234,0,8071,0,0,10.77,10.11,18.25,21.95,24.5,27.23,29.22,28.2,26.24,21.86,18.75,17.47,8.04,7.17,15.68,19.58,21.17,23.84,24.87,24.15,21.86,17.99,16.03,15.41,11.7,12.2,17.2,21.7,24.3,27.8,29.5,30.5,28.3,23.3,18.9,16.9,7.8,9.2,8,7.3,6.9,6.3,6.2,6.1,6.1,7.7,7.2,8
642,89,1000000,0,159217,71033,0,0,0,0,0,0,0,0,0,10.73,9.96,18.98,22.56,25.13,27.56,29.25,28.55,26.11,21.68,19.6,17.71,7.78,6.85,15.14,19.26,20.09,23.44,24.59,24.24,22.08,17.76,16.39,15.13,13.4,13,17.4,21.9,23.8,27.4,29.4,28.5,26.3,22,19.6,17.7,6,7.5,5.9,5.8,5.2,5,5.2,4.8,5.6,6.2,6,5.8
708,590,1000000,1190530,1161703,96203,249950,499019,1106948,741365,1077684,0,96194,944218,104009,4.56,3.14,12.88,17.54,21.9,26.02,27.38,25.88,23.05,16.89,13.6,12.52,2.26,0.25,9.65,14.13,17.64,21.46,23.03,21.3,19.13,13.85,11,10.58,13.2,9.2,12.6,17,20.7,27.6,26.4,26.8,24.3,18.3,16.2,13.4,4.5,5.8,4.8,4.8,3.5,3.2,3.4,3.6,3.3,3.4,4.1,3.7
727,180,1000000,205349,103962,0,0,0,0,0,0,0,0,0,0,9.31,8.83,18.41,21.59,24.63,27.55,28.88,28.31,25.2,20.63,18.19,16.85,6.42,5.57,13.98,18.08,19.31,22.97,24.23,23.72,21.43,16.72,15.08,14.03,10.6,11.1,15.5,20.5,22.9,26.9,28.1,27.9,25.8,21.5,18.9,16.7,4.9,6.1,5.4,5.3,4.8,4.3,4.3,4.3,5,5.4,5.3,4.9
856,450,1000000,1821435,1683116,1822231,1841616,1758414,1568205,1735171,1536503,1439875,836815,799489,1341652,-3.51,-7.45,3.78,12.53,18.79,22.55,23.43,22.32,21.65,13.68,7.97,4.81,-4.39,-8.04,1.56,8.79,15.1,19.82,20.69,19.1,17.22,9.83,5.74,3.83,1.5,1.5,5.8,13.9,19.7,23.4,25.4,26.6,24.4,16.3,10.3,6.7,8.1,8.2,8.1,9.4,8.6,7.5,5.7,6,6.5,8.6,10.1,10.5
862,363,1000000,0,0,0,5643,0,8713,80344,93674,52447,52337,49528,0,0.19,-3.19,6.83,14.88,19.82,24.71,26.23,23.57,21.67,14.74,10.25,8.16,-1.52,-4.54,4.56,11.4,16.26,21.19,22.97,20.19,17.94,11.25,7.59,6.25,4.4,4.2,7.2,17.9,21.5,27,27.5,27.8,25.1,19.4,13.8,10,7.7,9.5,7.2,8.2,7.5,6.5,5.4,4.1,4.3,6.7,7,8.5
874,530,1000000,948868,951115,609927,956908,360270,873926,1098395,984123,408593,593810,221076,0,-5.06,-9.59,2.22,10.37,16.61,20.6,22.81,22.12,20.85,12.81,7.3,4.37,-5.85,-9.93,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.35,4.85,3.14,3.3,1.9,6,12.8,18,21.1,24.5,25,22.7,18,12,7.8,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4
880,600,1000000,9900771,9040557,6366227,9044433,9876871,9475253,9737166,9742547,9045876,9896404,9611581,9998476,-6.09,-11.27,2.18,10.47,16.81,21.08,22.13,21.07,20.59,11.98,5.92,2.61,-6.75,-11.37,-0.36,6.43,13.3,17.83,19.25,18.06,16.84,8.71,3.99,1.85,0.7,0.8,3.6,12.6,18.2,23.2,25.7,25.4,23.3,15.1,8.9,4.1,10,10.5,10,11.3,10.6,7.5,6.4,6.9,7.2,9.7,11.8,11.8
884,580,1000000,2366829,2425400,1716765,1193156,27069,808427,989481,644822,732167,1374830,1426783,549842,-4.97,-9.44,2.3,10.43,16.64,20.61,22.89,22.22,20.93,12.87,7.38,4.41,-5.79,-9.83,-0.14,6.39,13.1,17.14,18.61,18.14,16.97,9.37,4.89,3.15,3.5,2,5.7,14.3,17.5,20.6,23.9,24.5,22.3,17.6,12.4,8.3,10,10.5,9.5,10.7,10.1,8.1,7.1,7.3,7.4,10.3,11.1,11.4
887,350,1000000,3013604,2869583,2966613,2163156,2455159,2521769,2640622,2533847,2590445,2331222,1868014,1539759,0.97,-2.46,7.41,15.68,20.21,25.39,26.81,23.88,22.09,15.42,11.16,9.05,-0.79,-3.94,5.31,12.11,16.62,21.55,23.44,20.45,18.14,11.86,8.37,7.05,4.5,4,7.2,14.7,19.6,25.7,26.3,27.7,25.8,20.3,15,11.1,7.5,9.2,7.1,7.8,7.1,6.1,5.3,4,4.2,6.7,6.7,8
892,460,1000000,910710,900238,838962,755379,666580,565437,696343,918625,870366,851371,662194,502973,-6.02,-11.2,1.72,10.32,16.64,20.94,22.18,21.17,20.39,12.16,6.25,3.42,-6.62,-11.2,-0.61,6.34,13.18,17.51,18.95,17.9,16.81,8.99,4.25,2.51,1.1,1.2,5.9,13.2,18.9,22.2,24.4,26.5,24.4,15.9,9.8,6.3,8.8,9,8.6,10,9.3,7.4,5.9,6.2,6.3,9.1,10.3,10.7
898,440,1000000,1435820,1427559,1231848,869676,697634,1113237,1253392,1177715,1221006,1044269,907037,897225,0.02,-3.55,7.09,14.97,20.18,24.75,26.35,24.59,23.06,15.27,10.11,7.01,-1.98,-5.11,4.11,10.77,15.97,20.98,22.28,20.4,18.5,11.22,7.27,5.18,2.6,2.6,7.8,15,20.3,23.9,25.6,27.6,24.9,17.5,10.6,6.7,8,9.3,7.5,9,8.4,7,6.2,5.5,5.7,7.8,8.4,9.4
983,460,1000000,3063039,2410418,3592668,2161579,3096619,2961652,2429486,2289466,3014628,2438653,1887190,1653645,0.18,-3.28,6.96,14.57,20.64,24.17,25.37,23.61,22.33,15.2,10.64,9.13,-1.91,-5.2,3.97,10.55,16.38,19.99,21.55,19.44,17.73,11.51,7.68,7.08,3.2,2.5,5.9,13,19.8,24.8,23.9,27.1,24.7,19.9,13.9,10,7.9,9.1,7.7,8.2,6.9,7.1,5.5,4.9,5.2,7,6.5,7.8
988,490,1000000,1459285,1637275,1432798,841389,751311,0,0,0,0,0,0,0,-1.24,-5.36,5.21,12.85,19.41,22.52,23.73,22.11,20.94,13.64,9.23,7.73,-3.15,-6.67,2.76,9.53,15.84,19.35,20.64,18.75,17.15,10.64,6.65,6.12,2.9,2.5,6.9,14.6,20.3,25,24.6,26.2,23.9,20.7,16.9,10.6,7.8,8.7,7.7,7.9,6.2,6.2,4.8,4.3,4.6,7.1,6.5,7.5
990,680,1000000,335637,365154,392866,399668,453855,491642,289089,237487,112843,0,0,212617,-3.35,-6.49,4.17,12.61,19.46,22.67,23.67,22.59,21.34,13.95,8.98,6.09,-4.57,-7.49,1.68,8.72,15.15,19.07,19.96,18.41,16.78,9.93,6.11,4.63,2.9,2.5,5.8,13.7,19.7,21.7,23.8,24.5,22.9,17.6,12.8,8.9,9.4,10.1,8.8,9.8,8.9,8.3,6.7,6.4,6.6,9.3,9.3,9.5
990,680,1000000,394867,429593,462195,470198,533947,578403,340105,279396,132757,0,0,250138,-3.35,-6.49,4.17,12.61,19.46,22.67,23.67,22.59,21.34,13.95,8.98,6.09,-4.57,-7.49,1.68,8.72,15.15,19.07,19.96,18.41,16.78,9.93,6.11,4.63,2.9,2.5,5.8,13.7,19.7,21.7,23.8,24.5,22.9,17.6,12.8,8.9,9.4,10.1,8.8,9.8,8.9,8.3,6.7,6.4,6.6,9.3,9.3,9.5
991,620,1000000,168923,241679,62119,88329,65143,86224,98868,39032,90317,55687,35965,17054,-2.79,-6.41,4.4,12.75,19.49,22.73,23.63,22.35,21.14,13.97,9.05,6.34,-4.07,-7.3,2,8.95,15.34,19.35,20.29,18.56,16.8,10.07,6.23,4.9,2.8,2.7,6,13.3,20,22.3,22.3,23.4,22.9,16.2,11.7,8.8,8.5,9.3,8.2,9,8,7.5,5.9,5.5,5.7,8.2,8.3,8.8
991,620,1000000,259882,371814,95568,135891,100220,132652,152105,60049,138949,85672,55331,26237,-2.79,-6.41,4.4,12.75,19.49,22.73,23.63,22.35,21.14,13.97,9.05,6.34,-4.07,-7.3,2,8.95,15.34,19.35,20.29,18.56,16.8,10.07,6.23,4.9,2.8,2.7,6,13.3,20,22.3,22.3,23.4,22.9,16.2,11.7,8.8,8.5,9.3,8.2,9,8,7.5,5.9,5.5,5.7,8.2,8.3,8.8
994,440,1000000,2220040,1106742,1975122,2096290,1938131,2096267,2140548,2173227,1948541,1810623,1990726,1488910,-0.99,-4.95,5.6,13.74,19.52,23.49,24.74,22.8,21.36,14.53,9.55,7.43,-2.46,-5.98,3.21,10.13,15.91,20.24,21.62,19.36,17.32,10.85,6.97,5.84,3.6,2.7,6.3,14.8,20,24.8,25.5,26.1,25.2,17.7,12,8.8,8.1,9.3,7.7,8.6,8,7.1,5.5,4.6,5.1,7.6,7.6,8.9
1001,510,1000000,635083,1458833,1585911,1527275,1578123,2433387,2739590,3209257,2947248,3354096,3136337,3097561,-3.68,-7.37,2.99,11.85,18.73,22.15,22.95,21.8,19.27,13.3,7.92,5.48,-4.58,-7.88,1.13,8.59,15.12,19.42,20.29,18.75,16.67,9.65,5.56,4.23,1.6,1.6,5.6,13.4,20.2,22.1,23.3,24.4,22.8,12.4,10.6,7.6,8.7,9.8,8.5,9.8,8.9,7.4,5.2,5.1,5.7,8.9,9.3,10.4
1008,460,1000000,263690,559834,394690,0,210837,438348,449304,660618,356903,124611,0,101173,0.65,-2.58,7.56,15.12,21.06,24.81,25.98,24.17,22.73,15.69,11.1,9.64,-1.45,-4.66,4.46,10.96,16.58,20.27,21.93,19.69,17.9,11.78,7.98,7.44,4,3,5.6,14.9,19.6,23.8,23.9,27.1,25,20.4,15,12,7.5,8.9,7.2,7.9,6.9,7.2,5.5,4.8,5,6.4,6.1,7.5
1010,490,1000000,1021043,1211139,968692,741343,1368901,1338656,1316869,1060263,776706,658761,1115658,903272,-2.44,-6.59,3.91,12.53,19.06,22.67,23.7,22.13,20.26,13.66,8.58,6.12,-3.65,-7.2,1.89,9.24,15.54,19.83,20.81,18.8,16.77,10.06,6.12,4.81,2,2,6.3,13.9,20.3,22.6,23.8,24.9,23.5,17.4,12.1,8.4,8.1,8.9,7.6,8.7,8.1,6.9,5,4.8,5,8,8.2,9.2
1012,390,1000000,1021239,856576,563750,562472,879573,483661,892142,582855,787497,711759,632052,337023,0.77,-2.77,7.41,15.21,20.34,24.76,26.28,23.95,22.59,15.66,10.85,9.13,-1.08,-4.43,4.7,11.38,16.48,20.81,22.55,20.02,18.02,11.84,8.14,7.16,3.5,2.9,5.9,12.7,19.3,25,24.5,27.3,25.8,21.1,14.6,10.1,7.5,9,7.4,8.1,7.5,6.9,5.9,4.6,5,6.9,6.7,8.2
1032,606,1000000,140377,153258,173514,16402,140866,173343,127032,162118,90323,37418,25239,61729,-5.47,-8.78,1.57,10.39,17.52,20.83,21.94,21.32,18.06,12.51,7.28,4.99,-6.05,-9.2,-0.25,7.16,14.25,18.25,19.08,18.24,16.45,9.17,4.99,3.85,2,1.6,4.7,12.5,18.4,20.8,20.9,22.6,21.9,15.6,10.2,7.1,8.7,9.3,8.5,9.7,8.1,7.4,5.6,5.8,5.9,9,9.3,10
1043,437,1000000,197555,226897,66224,0,0,0,0,0,0,0,0,0,-0.96,-4.93,5.62,13.76,19.53,23.51,24.76,22.81,21.38,14.54,9.56,7.45,-2.44,-5.96,3.23,10.15,15.91,20.25,21.63,19.37,17.33,10.86,6.98,5.85,3.7,2.8,6.3,14.5,19.9,24.7,25.3,26.1,25.3,17.6,11.9,8.8,8.1,9.3,7.7,8.6,8,7.1,5.5,4.6,5.1,7.6,7.6,8.9
1043,437,1000000,232417,266937,77911,0,0,0,0,0,0,0,0,0,-0.96,-4.93,5.62,13.76,19.53,23.51,24.76,22.81,21.38,14.54,9.56,7.45,-2.44,-5.96,3.23,10.15,15.91,20.25,21.63,19.37,17.33,10.86,6.98,5.85,3.7,2.8,6.3,14.5,19.9,24.7,25.3,26.1,25.3,17.6,11.9,8.8,8.1,9.3,7.7,8.6,8,7.1,5.5,4.6,5.1,7.6,7.6,8.9
1047,640,1000000,849646,688195,790018,64810,361669,604127,761369,595428,758886,199992,0,183159,-6.32,-11.83,1.45,9.84,16.3,20.29,21.88,21.36,20.21,11.18,5.62,1.75,-7.14,-12.07,-1.11,5.64,12.71,16.91,18.37,17.72,16.69,8.17,3.5,0.66,0.9,0.5,3,11.2,17.1,23.2,25.2,24.5,22.7,13.3,7.4,1.9,6.5,6.9,6.7,7.9,7.2,5.3,4.9,5.8,5.3,6.8,7.6,7.4
1048,590,1000000,504311,463651,550804,131492,0,39303,0,0,24479,0,17400,313,-6.17,-11.31,2.1,10.43,16.67,20.95,22.09,21.06,20.52,11.92,5.85,2.53,-6.82,-11.43,-0.41,6.36,13.23,17.72,19.14,18.01,16.81,8.68,3.91,1.79,1.3,0.8,3.8,12.6,17.9,22.6,23.6,22.5,22.8,16.6,8.9,3.8,10,10.6,10,11.3,10.6,7.5,6.4,7,7.2,9.7,11.8,11.8
1073,720,1000000,277632,269823,151550,33963,55295,103299,219409,300618,203983,27846,45750,21757,-5.75,-10.75,2.69,10.88,16.8,21.12,22.29,21.11,20.64,12.02,5.98,2.45,-6.43,-10.95,0.14,6.81,13.56,18.18,19.5,18.33,16.95,8.79,4.09,1.83,-0.2,0.4,5.3,12.5,17.7,21.2,24.5,23.8,22.2,13.9,8.5,4.8,10.2,10.8,10.2,11.3,10.7,7.3,6.7,7.2,7.7,9.7,11.6,11.1
1081,570,1000000,284708,296482,282232,7460,3548,22242,63897,36090,41013,0,4916,8110,-5.73,-10.9,2.59,10.77,17.17,21.43,22.34,21.15,20.81,12.17,6.17,2.8,-6.41,-11.02,0,6.79,13.61,18.27,19.63,18.3,16.98,8.86,4.28,2.03,1.1,0.8,3.6,12.7,18.7,23.9,27.6,26.9,24.9,16.1,9,5.3,9.5,10,9.5,10.9,10.2,7.3,6.2,6.5,6.7,9.3,11.1,11.2
1082,970,1000000,1528504,2374536,2216706,2162152,2313233,2029954,2238525,2329850,2146962,67537,953,1028074,-2.23,-6.05,6.54,12.39,16.55,23.04,24.99,22.92,22.04,14.08,7.42,1.28,-4.24,-7.2,2.44,8.55,13.53,19.32,21.19,19.48,18.18,9.92,4.72,0.18,1.3,1.1,6.5,12.2,16.5,22.5,25.6,24.9,22.3,15.1,8.5,3.1,10.2,10.7,9.9,11,10.8,8.3,7.9,8.6,10.6,8.9,11.6,11
1091,1080,1000000,1419761,1997406,670350,614489,636225,1705131,2752930,1831249,703300,759033,130466,1221276,-4.09,-7.07,5.67,11.42,15.78,22.08,23.43,21.47,20.34,12.65,5.46,-0.46,-5.37,-8.2,1.5,7.32,12.38,18.07,20.02,18.18,17.28,8.93,3.25,-1.35,1.6,0.9,5.9,12.1,16.3,22.7,25.5,24.1,21.7,14.3,7.6,2.3,10.3,11.8,10.5,11.2,11.1,8,7.6,8.3,9.8,9.4,10.8,10.8
1104,530,1000000,642908,487857,277601,526313,476842,348615,692198,683179,527622,384188,521515,526891,-3.85,-8.34,4.4,12.71,17.99,22.34,23.68,22.16,21.65,13.21,7.5,3.74,-4.76,-8.87,1.78,8.61,14.83,19.83,20.94,19.34,17.64,9.85,5.57,3.04,0.6,0.9,4.1,11.7,17.4,22.7,25.6,25.5,23.4,15.5,9.1,4.7,9,9.4,8.8,9.8,8.8,7,6,6,7.2,8.8,10.6,10.4
1167,550,1000000,511239,554082,418293,454843,432114,487629,557252,542630,310892,206148,342628,371557,-5.4,-10.38,2.95,11.17,17.19,21.49,22.57,21.32,20.9,12.3,6.34,2.84,-6.12,-10.6,0.38,7.13,13.82,18.53,19.83,18.51,17.09,9.02,4.45,2.15,1.1,0.8,4,13.2,19.4,23.7,26.5,26.3,24.4,16.3,9.2,5.3,9.3,9.9,9.3,10.6,9.9,7.1,6.2,6.5,6.6,9,10.7,10.8
1295,760,1000000,565841,592197,562801,155914,17018,0,83335,24561,26042,929,58544,145501,0.7,-2.58,9.28,14.83,18.65,24.96,26.35,24.85,23.59,15.49,9.96,5.54,-2.1,-4.6,4.96,10.6,15.17,20.93,22.62,20.65,18.99,11.2,6.95,3.48,2.6,2.1,8.2,14.4,18.3,23.7,27,25.4,23.3,16.2,10.6,5,8.2,9.1,8.3,9.1,8.9,8.3,7.6,6.9,8.3,7.3,9.9,9.3
1357,410,1000000,608184,495510,660830,506321,473387,503917,467537,437994,350664,0,0,0,1.32,-2.03,8.09,15.51,20.26,24.8,26.52,23.74,22.45,15.63,11.47,9.82,-0.56,-3.86,5.64,11.98,16.63,21.05,22.89,20,18.04,12.17,8.81,8.01,4.7,4,7.7,14.9,19,25.5,22.8,26.7,25.7,19.8,15.1,11.2,7,8.5,6.9,7.7,7,6.7,5.7,4.5,4.7,6.2,6.5,8
1363,460,1000000,990160,1221774,969007,809873,544087,268195,0,0,0,0,0,0,0.68,-2.57,7.61,15.17,21.1,24.85,26.01,24.21,22.76,15.74,11.14,9.68,-1.43,-4.64,4.5,10.98,16.6,20.28,21.94,19.7,17.9,11.8,7.99,7.45,4.2,3.1,5.7,15.2,19.5,23.6,23.8,26.6,24.9,19.6,15,11.7,7.7,9,7.3,8,7,7.3,5.6,5,5.1,6.6,6.3,7.6
