"Plant.Code","Elevation","Pond_Area","percentAllocation","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","Tdb","Twb","nwT"
165,620,0,100,3980318,3380597,3492612,2445691,3371517,3232050,3891970,3798639,3706057,2858755,3288604,3878460,4.44,7.0910764,11.404844,14.850009,18.982262,26.06167,25.95162,25.183876,20.978336,12.354849,12.066671,4.44,4.44,4.44,7.040751,10.047416,15.770877,21.800442,21.062197,20.524616,17.540436,9.887776,8.636545,4.44,1.34254838709677,3.39066785714286,7.9485,13.3841866666667,15.9559225806452,21.20295,23.9837,23.576764516129,21.05763,14.3190096774194,11.20725,6.18006774193548,10.217748,12.335106,13.2267885,12.139108,8.666325,9.492066,8.384903,8.377687,7.3669767,10.022918,9.1267,10.160021,89.96800465,77.7259636,30.49
167,250,0,100,0,0,0,0,0,75971,82229,10884,112,0,0,0,4.50001,8.900006,12.679042,16.510006,20.764524,27.181671,25.88549,25.559689,22.783344,14.60323,12.656673,4.44,4.44,5.1018558,8.727549,11.756513,17.675129,22.725313,22.063381,21.701324,19.516048,11.975336,9.245313,4.44,3.02396774193548,4.97575714285714,10.0581451612903,13.3211933333333,16.8290096774194,20.4215933333333,23.8557129032258,24.1605580645161,21.67073,15.3776387096774,11.91273,6.85888064516129,9.135359,10.593492,10.859965,10.513601,8.413767,6.6586137,6.6819453,7.5695043,8.067884,8.471495,7.2253046,8.35604,90.92310746,79.72092527,30.49
168,NA,NA,100,0,0,0,0,0,35731,0,0,10179,0,0,0,4.44,7.7178583,11.808071,16.060009,20.587101,26.58001,25.227427,24.841942,22.570007,14.20162,12.208343,4.44,4.44,4.44,8.217088,11.715482,17.557404,22.353365,21.592716,21.131458,19.487278,11.662746,8.76932,4.44,5.65085806451613,14.7550321428571,11.9256612903226,18.03825,25.2403387096774,29.7928766666667,30.2525967741935,31.1360096774194,27.9792366666667,19.9791096774194,16.3698,7.81643548387097,9.820872,11.624081,11.256841,10.8715105,8.752915,7.0538063,7.3025146,7.9230843,8.254295,8.767347,7.6652355,8.853938,NA,NA,30.49
169,300,0,100,0,152,712,190,308,29580,165666,146316,70195,0,0,0,6.2193584,10.182145,13.148389,16.540007,21.029037,26.601679,26.974201,25.946781,22.891674,15.067751,13.313337,4.7903304,4.44,6.5907006,9.389795,12.146507,18.105785,22.512966,22.738533,22.08433,19.678692,12.664893,10.088589,4.44,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,16.8920574833333,8.781779,10.609469,10.470305,10.782034,7.9230843,7.6055837,7.252003,7.518993,6.4871154,8.522006,6.9568725,8.226153,90,79,30.49
201,NA,NA,15,0,0,2779.95,0,0,13273.2,9389.85,5651.1,0,0,0,6516.9,4.44,7.5214353,11.541943,14.950009,19.520975,26.225008,26.051622,25.088718,21.391672,13.15484,12.00001,4.44,4.44,4.44,7.774595,10.5457535,16.741467,22.20235,21.70166,21.15285,18.34018,10.614995,8.78355,4.44,2.5173064516129,3.94624285714286,7.89432903225806,12.88605,16.0270387096774,20.06457,23.4988322580645,23.8754161290323,21.23917,14.7881967741935,11.57168,6.21629677419355,7.5983677,8.859866,9.539452,9.693391,6.5015473,6.248509,6.2922854,6.934503,6.680983,7.9158688,6.7555475,7.699391,NA,NA,30.49
201,NA,NA,100,0,0,18533,0,0,88488,62599,37674,0,0,0,43446,4.44,7.5214353,11.541943,14.950009,19.520975,26.225008,26.051622,25.088718,21.391672,13.15484,12.00001,4.44,4.44,4.44,7.774595,10.5457535,16.741467,22.20235,21.70166,21.15285,18.34018,10.614995,8.78355,4.44,2.5173064516129,3.94624285714286,7.89432903225806,12.88605,16.0270387096774,20.06457,23.4988322580645,23.8754161290323,21.23917,14.7881967741935,11.57168,6.21629677419355,7.5983677,8.859866,9.539452,9.693391,6.5015473,6.248509,6.2922854,6.934503,6.680983,7.9158688,6.7555475,7.699391,NA,NA,30.49
207,10,0,100,3979527,3391190,1983753,1901230,3404222,3870816,3831518,3149950,3676928,4556064,3805206,4572530,11.959679,12.533931,16.967747,20.016668,24.200008,27.910004,27.629038,27.65162,26.020008,23.651619,17.22667,14.050002,8.161053,8.185588,12.997195,15.5161705,20.906366,23.973783,24.039711,24.32574,22.777729,20.124393,13.783921,10.989062,13.6287096774194,15.3058357142857,13.5238774193548,19.7550966666667,22.4464032258064,25.7525866666667,27.4473096774194,27.4185580645161,27.2971433333333,25.6065483870968,26.5866633333333,15.3358161290323,9.2508135,8.963724,8.954961,9.872346,8.954961,6.725722,7.1293325,7.6344476,8.940289,8.0168915,8.79116,10.65792,87.26568437,79.35336055,30.49
271,NA,NA,100,0,0,0,3663,77245,134665,45077,0,0,0,0,0,8.916132,10.35179,12.504844,14.756675,19.570972,20.828335,22.677422,23.10323,22.960005,16.919365,11.776671,7.558074,5.746404,7.6866393,8.551933,9.494848,13.843666,14.939574,16.163464,16.618269,16.555101,11.659196,7.9870653,5.195317,6.93643225806452,7.09061428571429,7.91867741935484,10.8092,13.9378258064516,15.6126,16.5953612903226,15.5507870967742,11.2609333333333,14.6849838709677,13.63547,8.07952903225807,5.751091,7.525693,8.558085,9.02231,9.618827,11.281616,10.960988,10.477522,9.872346,7.988028,6.024815,5.253193,NA,NA,30.49
298,460,0,100,6157082,3566506,4142988,5338652,6106613,6222461,6455718,5133859,4662940,5783137,5380135,6304906,8.987103,13.185722,15.143553,18.05334,23.317745,28.45001,29.861301,28.89678,24.24001,17.90807,14.676672,6.291943,4.881444,8.774993,10.918453,12.979271,19.214584,22.959602,24.244057,23.332579,20.221704,15.027831,11.289485,4.44,5.24393548387097,6.113025,8.91135483870968,23.2825466666667,22.5290129032258,27.6847233333333,31.5025580645161,26.8103483870968,21.2759733333333,20.0725903225806,18.1483,10.3453451612903,10.051782,12.231249,11.588774,12.168934,9.950759,11.169768,9.308541,9.698202,7.8143644,10.152804,7.3520646,8.594166,90.29513098,78.5727703,30.49
329,1960,0,100,0,94,18542,28038,87021,77,10922,0,145496,0,134633,20803,10.296778,10.191083,13.6854925,17.471672,26.524202,25.390007,32.64356,30.054846,27.596674,18.198393,13.136674,7.211298,4.44,5.2160087,6.708749,8.4614725,13.744661,14.196289,16.732164,15.362632,14.216591,8.5188675,5.517551,4.44,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,19.3667232916667,5.996433,5.8639693,6.4871154,7.3296947,6.63865,6.740635,5.787171,5.5346136,5.3015394,6.321149,4.9138036,5.433591,94.78574029,70.81112157,30.49
331,1110,0,100,332998,98092,79822,280042,377071,143869,483234,490625,716475,234962,69856,38837,14.922588,12.226789,14.267745,16.275007,21.320974,20.720005,26.622587,25.895168,25.671675,19.003231,16.366673,11.538713,7.221043,7.429761,9.059762,9.882516,15.437211,15.429802,18.464748,17.388905,17.042397,11.616771,9.045195,6.4023533,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,18.7359295833333,7.5983677,8.388512,7.259219,8.835898,7.244787,7.5384755,6.905639,6.5159793,6.248509,7.201492,6.673527,7.475697,91.55720386,72.71795745,30.49
358,1110,0,100,1481863,1303234,1378830,1134944,519280,1052864,1481367,1515308,1496435,586553,1277061,1367216,14.045164,11.894644,14.35162,16.590004,21.970972,21.591677,26.927422,26.356457,25.983341,18.937101,15.980006,11.240327,6.4880414,7.042064,8.95385,10.055022,15.665454,15.27943,18.447605,17.39811,16.805645,11.136922,8.429844,5.8089843,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,18.8223945833333,8.51479,9.011658,7.57672,9.141613,7.670527,8.015689,7.1726284,6.6963773,6.725722,7.7499022,7.2924123,8.204505,93.26854717,72.72050387,30.49
