"plant_bo","bogen"
"1893^4","1893^4"
"1904^3","1904^1"
"1904^4","1904^2"
"1904^5","1904^3"
"1912^7","1912^3"
"1912^8","1912^3"
"1912^9","1912^3"
"1915^1","1915^1"
"1926^1","1926^1"
"1926^2","1926^1"
"1927^9","1927^1"
"1927^10","1927^1"
"1927^7A","1927^1"
"1934^1","1934^1"
"1934^2","1934^1"
"1943^2","1943^2"
"1943^3","1943^3"
"1961^NEPP","1961^1"
"1979^1","1979^1"
"1979^2","1979^1"
"1979^3","1979^1"
"1979^4","1979^1"
"1980^8","1980^1"
"2001^1","2001^1"
"2001^2","2001^1"
"2001^4","2001^1"
"2008^1","2008^1"
"2008^2","2008^2"
"2008^3","2008^3"
"2008^4","2008^4"
"2018^7","2018^1"
"2018^9","2018^1"
"2018^10","2018^1"
"2018^11","2018^1"
"2022^2","2022^1"
"2022^3","2022^1"
"2039^1","2039^1"
"2039^2","2039^2"
"2039^3","2039^3"
"2048^1","2048^1"
"2048^2","2048^2"
"2049^1","2049^1"
"2049^2","2049^2"
"2049^3","2049^3"
"2049^4","2049^4"
"2049^5","2049^5"
"2050^1","2050^1"
"2050^2","2050^2"
"2053^3","2053^1"
"2053^4","2053^2"
"2059^7","2059^1"
"2059^9","2059^1"
"2059^8","2059^2"
"2062^H1","2062^1"
"2062^H3","2062^1"
"2062^HRSG","2062^1"
"2067^3","2067^1"
"2067^GT1","2067^1"
"2067^HRSG1","2067^1"
"2070^GTG1","2070^1"
"2070^HRSG1","2070^1"
"2070^GTG2","2070^2"
"2070^HRSG2","2070^2"
"2070^3","2070^3"
"2076^1","2076^1"
"2079^6","2079^1"
"2079^9","2079^1"
"2079^5A","2079^2"
"2080^1","2080^1"
"2080^2","2080^2"
"2080^3","2080^3"
"2094^1","2094^1"
"2094^2","2094^2"
"2094^3","2094^3"
"2098^1","2098^1"
"2098^2","2098^1"
"2098^3","2098^1"
"2098^4","2098^1"
"2098^5","2098^1"
"2098^8","2098^1"
"2098^6","2098^2"
"2103^1","2103^1"
"2103^2","2103^2"
"2103^3","2103^3"
"2103^4","2103^4"
"2104^1","2104^1"
"2104^2","2104^2"
"2104^3","2104^3"
"2104^4","2104^4"
"2107^1","2107^1"
"2107^2","2107^2"
