"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
3602,3159,0,86.30108073,71.85082574,30.49,,,,,,,
3604,3205,0,86.25360526,71.9171141,30.49,,,,,,,
3609,637,0,87.68815231,77.80527506,30.49,,,,,,,
3630,664,0,87.08831175,77.4048771,30.49,,,,,,,
3631,103,0,88.63528981,79.62741157,30.49,,,,,,,
3644,6121,0,84.82150644,65.53519562,30.49,,,,,,,
3648,4230,0,85.79290728,65.88550147,30.49,,,,,,,
3775,1570,0,81.49047256,72.49428354,30.49,,,,,,,
3845,249,0,80.26660974,65.49619386,30.49,,,,,,,
3935,596,0,84.16562472,74.67161325,30.49,,,,,,,
3943,812,0,83.01255381,74.87221987,30.49,,,,,,,
3944,980,0,83.06799554,74.6183113,30.49,,,,,,,
3948,668,0,83.72131873,75,30.49,,,,,,,
4162,6943,0,80.67195206,62.09234854,30.49,,,,,,,
4259,1025,0,84.48456695,75.80863801,30.49,,,,,,,
4266,651,0,91.2645574,78,30.49,,,,,,,
4940,615,0,90.73702312,77.87222602,30.49,,,,,,,
4941,4381,0,79.37656581,62.94472715,30.49,,,,,,,
6001,176,0,88,78.81632807,30.49,,,,,,,
6002,321,0,87.64483405,77.64483405,30.49,,,,,,,
6004,637,0,83.70950066,75,30.49,,,,,,,
6008,954,0,96.84985126,75.95437859,30.49,,,,,,,
6009,311,0,90.87679652,79.3218058,30.49,,,,,,,
6015,260,0,87.05345349,77.52672674,30.49,,,,,,,
6018,516,0,85.12253795,76,30.49,,,,,,,
6019,499,0,85.14860236,76,30.49,,,,,,,
6020,624,0,83.11878972,74.37341411,30.49,,,,,,,
6021,6367,0,77.82384382,60.6342927,30.49,,,,,,,
6023,870,0,84.88906276,76,30.49,,,,,,,
6030,1973,0,84.47736324,69.92785305,30.49,,,,,,,
6031,527,0,85,76,30.49,,,,,,,
6036,642,0,87.09264107,76.25480677,30.49,,,,,,,
6040,735,0,82.64762988,73.64762988,30.49,,,,,,,
6041,538,0,85.26658943,76,30.49,,,,,,,
6051,124,0,88.39633015,79.64455627,30.49,,,,,,,
6052,782,0,86.99838745,76.61812527,30.49,,,,,,,
6068,1318,0,89.26212567,77.66906544,30.49,,,,,,,
6071,473,0,86.85339875,77.14884127,30.49,,,,,,,
6072,196,0,89.38188993,79.33156788,30.49,,,,,,,
6076,3252,0,85.30972562,66.03331986,30.49,,,,,,,
6081,238,0,82.99707681,74.01297379,30.49,,,,,,,
6085,666,0,85.30192386,76.30192386,30.49,,,,,,,
6090,968,0,83.34356785,74,30.49,,,,,,,
6094,732,0,82.64097988,73.64097988,30.49,,,,,,,
6103,692,0,82.05437286,73.80410149,30.49,,,,,,,
6105,204,0,85.29473995,76.29473995,30.49,,,,,,,
6112,4793,0,79.11356175,62.55678087,30.49,,,,,,,
6118,11,0,85.69750586,77,30.49,,,,,,,
6137,415,0,88.64046658,77.87974738,30.49,,,,,,,
6149,578,0,84,75,30.49,,,,,,,
6153,836,0,87.41460312,77.41460312,30.49,,,,,,,
6165,5677,0,84.72386996,65.43645992,30.49,,,,,,,
6166,400,0,88.26924859,77.73794194,30.49,,,,,,,
6170,687,0,84.95921423,75.61987639,30.49,,,,,,,
6177,5803,0,78.36003417,62.45729016,30.49,,,,,,,
6183,331,0,88.06809148,78.70343701,30.49,,,,,,,
6193,3566,0,85.95634094,69.9022336,30.49,,,,,,,
6194,3744.85,0,85.52857534,70.81907962,30.49,,,,,,,
6195,1262,0,88.00964626,76.92651589,30.49,,,,,,,
6204,4590,0,81.16440784,63.95623126,30.49,,,,,,,
6225,486,0,88.14278161,77.71110077,30.49,,,,,,,
6246,20,0,87.65229857,79,30.49,,,,,,,
6248,4313,0,78.9294384,62.4647192,30.49,,,,,,,
6250,530,0,86,76.17197211,30.49,,,,,,,
6254,700,0,87.0327031,76.98748535,30.49,,,,,,,
6257,500,0,88.5675415,77.5675415,30.49,,,,,,,
6264,590,0,84.7367973,75.34403211,30.49,,,,,,,
6285,496,0,73.24052935,61.24052935,30.49,,,,,,,
6358,1072,0,83.28647591,74,30.49,,,,,,,
6462,105,0,87.80177854,79.60355709,30.49,,,,,,,
6469,1920,0,84.24233566,69.58082449,30.49,,,,,,,
6481,4700,0,83.72217316,64.15866276,30.49,,,,,,,
6504,7,0,83.72217316,64.15866276,30.49,,,,,,,
6559,270,0,66.7071812,58.86968233,30.49,,,,,,,
6639,400,0,88.35734204,77.79533188,30.49,,,,,,,
6641,240,0,90.37891601,79.37891601,30.49,,,,,,,
6664,580,0,86.82149886,77.07161471,30.49,,,,,,,
6768,300,0,90,79,30.49,,,,,,,
6772,465,0,90,78.3310609,30.49,,,,,,,
6823,387,0,88.09714137,77.70751435,30.49,,,,,,,
7013,1178,0,90,76,30.49,,,,,,,
7030,420,0,90.34484922,77.68102745,30.49,,,,,,,
7210,173,0,89,78,30.49,,,,,,,
7213,380,0,86.60225509,76.60607708,30.49,,,,,,,
7238,73,0,87.00528983,79.57298998,30.49,,,,,,,
7266,83,0,91.98313333,69.89794486,30.49,,,,,,,
7294,94,0,86.99955373,79.50959278,30.49,,,,,,,
7296,990,0,89.00384663,77.10657372,30.49,,,,,,,
7307,523,0,87.98381632,67.90332139,30.49,,,,,,,
7314,99,0,81.1717886,75,30.49,,,,,,,
7350,281,0,89.94004552,65.49988078,30.49,,,,,,,
7368,3230,0,92.92903051,69.62410872,30.49,,,,,,,
7369,3262,0,92.928221,69.62364834,30.49,,,,,,,
7504,4422,0,83.12961112,65.03323277,30.49,,,,,,,
7513,444,0,80.68639246,72.31360754,30.49,,,,,,,
7527,18,0,93.46091785,70,30.49,,,,,,,
7546,1017,0,90.78913967,76,30.49,,,,,,,
7549,738,0,84.20328945,74.98463643,30.49,,,,,,,
7551,43,0,93.60088458,70,30.49,,,,,,,
7552,23,0,93.2189131,70,30.49,,,,,,,
7604,315,0,90,79,30.49,,,,,,,
7627,11,0,79.91201128,65.30400376,30.49,,,,,,,
7652,294,0,89,78,30.49,,,,,,,
7697,38,0,88,79.26639945,30.49,,,,,,,
7698,230,0,89.43473541,79,30.49,,,,,,,
7699,156,0,88,79.92547047,30.49,,,,,,,
7701,9,0,85.71680922,76.71680922,30.49,,,,,,,
7710,530,0,88.82100618,78.41050309,30.49,,,,,,,
7721,27,0,88.18397792,79.5412079,30.49,,,,,,,
7722,740,0,87.18912765,76.59456383,30.49,,,,,,,
7757,600,0,89.74424944,77.51045163,30.49,,,,,,,
7790,5040,0,80.83997855,62.44460645,30.49,,,,,,,
7805,320,0,88.3288843,78.3288843,30.49,,,,,,,
7826,735,0,86.78310021,76.36566491,30.49,,,,,,,
7834,600,0,85.96057839,75.97371893,30.49,,,,,,,
7845,310,0,90,79,30.49,,,,,,,
7846,80,0,88.77752923,79,30.49,,,,,,,
7870,15,0,75.42997818,65.03872384,30.49,,,,,,,
7887,1164,0,88.71808981,77,30.49,,,,,,,
7897,170,0,89.46759451,79,30.49,,,,,,,
7900,430,0,88.60469765,77.95905203,30.49,,,,,,,
7917,750,0,87.00303696,76.62474592,30.49,,,,,,,
7931,280,0,89.93904164,65.49882986,30.49,,,,,,,
7946,750,0,87.00381255,76.6261256,30.49,,,,,,,
7985,775,0,87.68377025,76.87176554,30.49,,,,,,,
7991,863,0,84,74.17579176,30.49,,,,,,,
7999,300,0,80.22690229,65.47508503,30.49,,,,,,,
8000,1352,0,88.50483137,77,30.49,,,,,,,
8011,305,0,85.10558024,76.10558024,30.49,,,,,,,
8031,1188,0,85.0662336,76,30.49,,,,,,,
8066,6670,0,75.53968961,57.95811943,30.49,,,,,,,
8068,1260,0,96.13861131,74.9979228,30.49,,,,,,,
8069,6460,0,84.80278651,65.5121744,30.49,,,,,,,
8073,13,0,78.67448647,65.50444572,30.49,,,,,,,
8102,567,0,84.75804983,75.3876587,30.49,,,,,,,
8219,5490,0,80.80948806,63.90270616,30.49,,,,,,,
8222,1960,0,84.19668446,69.55736112,30.49,,,,,,,
8223,6985,0,78.32782051,62.45572774,30.49,,,,,,,
8224,4460,0,87.4459698,62.24818284,30.49,,,,,,,
10002,1720,0,93.87294467,69.32563413,30.49,,,,,,,
10003,5636,0,79.72858161,62.86429081,30.49,,,,,,,
10012,581,0,85.07501192,75.8117493,30.49,,,,,,,
10013,820,0,83.76109776,74,30.49,,,,,,,
10030,40,0,85.02479141,76.93573791,30.49,,,,,,,
10034,176,0,74.53371317,64.51325315,30.49,,,,,,,
10043,9,0,85.83527952,76.83527952,30.49,,,,,,,
10052,24,0,68.81334831,61.97012011,30.49,,,,,,,
10062,3,0,86.36670541,79.14709035,30.49,,,,,,,
10071,12,0,87.63705491,78.4817943,30.49,,,,,,,
10090,142,0,81.25803618,70.61330215,30.49,,,,,,,
10099,14,0,85.84274513,76.84274513,30.49,,,,,,,
10113,1693,0,82.42886119,74.05316315,30.49,,,,,,,
10118,375,0,84.62231224,75.68490909,30.49,,,,,,,
10143,1895.73,0,80.72231044,72.10194916,30.49,,,,,,,
10151,1262.14,0,83.04614594,74.72686931,30.49,,,,,,,
10156,189,0,96.08954826,72.25496073,30.49,,,,,,,
10169,116,0,81.15647722,70.57821445,30.49,,,,,,,
10190,14,0,82.16274267,74,30.49,,,,,,,
10199,2489,0,92.93827432,69.62954789,30.49,,,,,,,
10250,58,0,86.35232507,80.64767493,30.49,,,,,,,
10287,4945,0,86.55211115,62.35310946,30.49,,,,,,,
10294,342,0,70.32690439,62.64698012,30.49,,,,,,,
10300,-175,0,90.52370087,74.07550477,30.49,,,,,,,
10308,55,0,86.27301716,76.58944386,30.49,,,,,,,
10342,11,0,81.12767806,66.75474191,30.49,,,,,,,
10343,1401,0,83.55295822,74.93742113,30.49,,,,,,,
10346,746,0,80.8283184,72.18743824,30.49,,,,,,,
10354,409,0,80.25241167,72.56468448,30.49,,,,,,,
10356,574,0,80.68551599,72.31448401,30.49,,,,,,,
10367,12,0,82.58217809,67.06575262,30.49,,,,,,,
10368,40,0,82.26611967,67.00217198,30.49,,,,,,,
10370,20,0,87.78624572,68.44503839,30.49,,,,,,,
