"bogencoo","LAKE..OF..OC..RC.","RIVER..OF.","POND..OC..RC.","TOWER..RF..RI..RN.","DC","OS"
"combogencoo^963^2",1,NA,NA,NA,NA,NA
"combogencoo^963^3",1,NA,NA,NA,NA,NA
"combogencoo^963^4",NA,NA,NA,1,NA,NA
"combogencoo^972^1",1,NA,NA,NA,NA,NA
"combogencoo^976^1",1,NA,NA,NA,NA,NA
"combogencoo^983^1",NA,1,NA,NA,NA,NA
"combogencoo^983^2",NA,1,NA,NA,NA,NA
"combogencoo^983^3",NA,1,NA,NA,NA,NA
"combogencoo^983^4",NA,1,NA,NA,NA,NA
"combogencoo^983^5",NA,1,NA,NA,NA,NA
"combogencoo^983^6",NA,1,NA,NA,NA,NA
"combogencoo^990^1",NA,0.85,NA,0.15,NA,NA
"combogencoo^990^2",NA,0.85,NA,0.15,NA,NA
"combogencoo^990^3",NA,NA,NA,1,NA,NA
"combogencoo^991^1",NA,NA,NA,1,NA,NA
"combogencoo^992^1",NA,NA,NA,1,NA,NA
"combogencoo^994^1",NA,1,NA,NA,NA,NA
"combogencoo^994^2",NA,1,NA,NA,NA,NA
"combogencoo^994^3",NA,NA,NA,1,NA,NA
"combogencoo^994^4",NA,NA,NA,1,NA,NA
"combogencoo^995^1",1,NA,NA,NA,NA,NA
"combogencoo^997^1",NA,NA,NA,1,NA,NA
"combogencoo^1001^1",NA,0.9,NA,0.1,NA,NA
"combogencoo^1007^1",NA,NA,NA,1,NA,NA
"combogencoo^1008^1",NA,1,NA,NA,NA,NA
"combogencoo^1008^2",NA,1,NA,NA,NA,NA
"combogencoo^1012^1",NA,1,NA,NA,NA,NA
"combogencoo^1012^2",NA,1,NA,NA,NA,NA
"combogencoo^1016^1",NA,NA,NA,1,NA,NA
"combogencoo^1040^1",NA,NA,NA,1,NA,NA
"combogencoo^1040^2",NA,NA,NA,1,NA,NA
"combogencoo^1047^1",NA,1,NA,NA,NA,NA
"combogencoo^1048^1",NA,1,NA,NA,NA,NA
"combogencoo^1060^1",NA,NA,NA,1,NA,NA
"combogencoo^1073^1",NA,1,NA,NA,NA,NA
"combogencoo^1073^2",NA,1,NA,NA,NA,NA
"combogencoo^1073^3",NA,1,NA,NA,NA,NA
"combogencoo^1081^1",NA,1,NA,NA,NA,NA
"combogencoo^1082^1",NA,1,NA,NA,NA,NA
"combogencoo^1082^2",NA,1,NA,NA,NA,NA
"combogencoo^1082^3",NA,1,NA,NA,NA,NA
"combogencoo^1082^4",NA,NA,NA,1,NA,NA
"combogencoo^1091^1",NA,1,NA,NA,NA,NA
"combogencoo^1091^2",NA,1,NA,NA,NA,NA
"combogencoo^1091^3",NA,1,NA,NA,NA,NA
"combogencoo^1104^1",NA,1,NA,NA,NA,NA
"combogencoo^1122^1",NA,NA,NA,1,NA,NA
"combogencoo^1122^2",NA,NA,NA,1,NA,NA
"combogencoo^1131^1",NA,NA,NA,0.2,0.8,NA
"combogencoo^1131^2",NA,NA,NA,0.2,0.8,NA
"combogencoo^1167^1",NA,1,NA,NA,NA,NA
"combogencoo^1167^2",NA,1,NA,NA,NA,NA
"combogencoo^1167^3",NA,1,NA,NA,NA,NA
"combogencoo^1206^1",NA,NA,NA,1,NA,NA
"combogencoo^1217^1",NA,NA,NA,1,NA,NA
"combogencoo^1230^1",NA,NA,NA,1,NA,NA
"combogencoo^1233^1",NA,NA,NA,1,NA,NA
"combogencoo^1235^1",NA,NA,NA,1,NA,NA
"combogencoo^1239^1",NA,1,NA,NA,NA,NA
"combogencoo^1240^1",NA,NA,NA,1,NA,NA
"combogencoo^1240^2",NA,NA,NA,1,NA,NA
"combogencoo^1241^1",1,NA,NA,NA,NA,NA
"combogencoo^1241^2",1,NA,NA,NA,NA,NA
"combogencoo^1242^1",NA,NA,NA,1,NA,NA
"combogencoo^1242^2",NA,NA,NA,1,NA,NA
"combogencoo^1250^1",NA,NA,NA,1,NA,NA
"combogencoo^1250^2",NA,NA,NA,1,NA,NA
"combogencoo^1250^3",NA,NA,NA,1,NA,NA
"combogencoo^1252^1",NA,NA,NA,1,NA,NA
"combogencoo^1252^2",NA,NA,NA,1,NA,NA
"combogencoo^1270^1",NA,NA,NA,1,NA,NA
"combogencoo^1271^1",NA,NA,NA,1,NA,NA
"combogencoo^1271^2",NA,NA,NA,1,NA,NA
"combogencoo^1295^1",NA,1,NA,NA,NA,NA
"combogencoo^1317^1",NA,NA,NA,1,NA,NA
"combogencoo^1330^1",NA,NA,NA,1,NA,NA
"combogencoo^1336^1",NA,NA,NA,1,NA,NA
"combogencoo^1353^1",NA,NA,NA,1,NA,NA
"combogencoo^1353^2",NA,NA,NA,1,NA,NA
"combogencoo^1355^1",NA,NA,NA,1,NA,NA
"combogencoo^1355^2",NA,NA,NA,1,NA,NA
"combogencoo^1355^3",NA,NA,NA,1,NA,NA
"combogencoo^1356^1",NA,NA,NA,1,NA,NA
"combogencoo^1356^2",NA,NA,NA,1,NA,NA
"combogencoo^1363^1",NA,1,NA,NA,NA,NA
"combogencoo^1363^2",NA,1,NA,NA,NA,NA
"combogencoo^1363^3",NA,1,NA,NA,NA,NA
"combogencoo^1363^4",NA,NA,NA,1,NA,NA
"combogencoo^1364^1",NA,1,NA,NA,NA,NA
"combogencoo^1364^2",NA,NA,NA,1,NA,NA
"combogencoo^1364^3",NA,NA,NA,1,NA,NA
"combogencoo^1364^4",NA,NA,NA,1,NA,NA
"combogencoo^1374^1",NA,1,NA,NA,NA,NA
"combogencoo^1374^2",NA,1,NA,NA,NA,NA
"combogencoo^1378^1",NA,0.9,NA,0.1,NA,NA
"combogencoo^1378^2",NA,NA,NA,1,NA,NA
"combogencoo^1379^1",NA,1,NA,NA,NA,NA
"combogencoo^1382^1",NA,NA,NA,1,NA,NA
"combogencoo^1382^2",NA,NA,NA,1,NA,NA
"combogencoo^1383^1",NA,0.75,NA,0.25,NA,NA
"combogencoo^1384^1",NA,1,NA,NA,NA,NA
"combogencoo^1384^2",NA,0.8,NA,0.2,NA,NA
"combogencoo^1393^1",NA,NA,NA,1,NA,NA
"combogencoo^1393^2",NA,NA,NA,1,NA,NA
"combogencoo^1393^3",NA,NA,NA,1,NA,NA
"combogencoo^1393^4",NA,NA,NA,1,NA,NA
"combogencoo^1396^1",1,NA,NA,NA,NA,NA
"combogencoo^1396^2",1,NA,NA,NA,NA,NA
"combogencoo^1400^1",NA,NA,NA,NA,NA,1
"combogencoo^1400^2",NA,NA,NA,0.1,NA,0.9
"combogencoo^1402^1",NA,1,NA,NA,NA,NA
"combogencoo^1402^2",NA,1,NA,NA,NA,NA
"combogencoo^1402^3",NA,1,NA,NA,NA,NA
"combogencoo^1403^1",NA,1,NA,NA,NA,NA
"combogencoo^1403^2",NA,1,NA,NA,NA,NA
"combogencoo^1403^3",NA,1,NA,NA,NA,NA
"combogencoo^1403^4",NA,1,NA,NA,NA,NA
"combogencoo^1403^5",NA,1,NA,NA,NA,NA
"combogencoo^1404^1",NA,NA,NA,1,NA,NA
"combogencoo^1416^1",NA,NA,1,NA,NA,NA
"combogencoo^1417^1",1,NA,NA,NA,NA,NA
"combogencoo^1439^1",NA,NA,NA,1,NA,NA
"combogencoo^1439^2",NA,NA,NA,1,NA,NA
"combogencoo^1439^3",NA,NA,NA,1,NA,NA
"combogencoo^1464^1",NA,NA,NA,1,NA,NA
"combogencoo^1464^2",NA,NA,NA,1,NA,NA
"combogencoo^1507^1",NA,NA,NA,NA,NA,1
"combogencoo^1507^2",NA,NA,NA,NA,NA,1
"combogencoo^1507^3",NA,NA,NA,NA,NA,1
"combogencoo^1507^4",NA,NA,NA,NA,NA,1
"combogencoo^1552^1",NA,NA,NA,NA,NA,1
"combogencoo^1552^2",NA,NA,NA,NA,NA,1
"combogencoo^1553^1",NA,NA,NA,NA,NA,1
"combogencoo^1554^1",NA,NA,NA,NA,NA,1
"combogencoo^1554^2",NA,NA,NA,NA,NA,1
"combogencoo^1554^3",NA,NA,NA,NA,NA,1
"combogencoo^1554^4",NA,NA,NA,NA,NA,1
"combogencoo^1564^1",NA,NA,NA,1,NA,NA
"combogencoo^1571^1",NA,NA,NA,NA,NA,1
"combogencoo^1571^2",NA,NA,NA,NA,NA,1
"combogencoo^1571^3",NA,NA,NA,1,NA,NA
"combogencoo^1571^4",NA,NA,NA,1,NA,NA
"combogencoo^1572^1",NA,1,NA,NA,NA,NA
"combogencoo^1572^2",NA,1,NA,NA,NA,NA
"combogencoo^1572^3",NA,1,NA,NA,NA,NA
"combogencoo^1573^1",NA,NA,NA,NA,NA,1
"combogencoo^1573^2",NA,NA,NA,NA,NA,1
"combogencoo^1588^1",NA,NA,NA,NA,NA,1
"combogencoo^1588^2",NA,NA,NA,NA,1,NA
"combogencoo^1588^3",NA,NA,NA,NA,1,NA
"combogencoo^1590^1",NA,NA,NA,NA,NA,1
"combogencoo^1595^1",NA,NA,NA,1,NA,NA
"combogencoo^1599^1",NA,NA,NA,NA,NA,1
"combogencoo^1599^2",NA,NA,NA,NA,NA,1
"combogencoo^1642^1",NA,1,NA,NA,NA,NA
"combogencoo^1660^1",NA,NA,NA,NA,1,NA
"combogencoo^1682^1",NA,NA,NA,NA,NA,1
"combogencoo^1682^2",NA,NA,NA,1,NA,NA
"combogencoo^1702^1",NA,1,NA,NA,NA,NA
"combogencoo^1702^2",NA,NA,NA,1,NA,NA
"combogencoo^1710^1",1,NA,NA,NA,NA,NA
"combogencoo^1710^2",1,NA,NA,NA,NA,NA
"combogencoo^1710^3",1,NA,NA,NA,NA,NA
"combogencoo^1715^1",NA,NA,NA,1,NA,NA
"combogencoo^1729^1",NA,NA,NA,1,NA,NA
"combogencoo^1733^1",NA,1,NA,NA,NA,NA
"combogencoo^1733^2",NA,1,NA,NA,NA,NA
"combogencoo^1733^3",NA,1,NA,NA,NA,NA
"combogencoo^1733^4",NA,1,NA,NA,NA,NA
"combogencoo^1740^1",NA,1,NA,NA,NA,NA
"combogencoo^1743^1",NA,1,NA,NA,NA,NA
"combogencoo^1745^1",NA,1,NA,NA,NA,NA
"combogencoo^1745^2",NA,1,NA,NA,NA,NA
"combogencoo^1745^3",NA,1,NA,NA,NA,NA
"combogencoo^1769^1",1,NA,NA,NA,NA,NA
"combogencoo^1769^2",1,NA,NA,NA,NA,NA
"combogencoo^1772^1",1,NA,NA,NA,NA,NA
"combogencoo^1825^1",NA,1,NA,NA,NA,NA
"combogencoo^1831^1",NA,0.85,NA,0.15,NA,NA
"combogencoo^1832^1",NA,NA,NA,1,NA,NA
"combogencoo^1843^1",1,NA,NA,NA,NA,NA
"combogencoo^1866^1",NA,1,NA,NA,NA,NA
"combogencoo^1880^1",NA,NA,NA,1,NA,NA
"combogencoo^1891^1",1,NA,NA,NA,NA,NA
"combogencoo^1893^1",1,NA,NA,NA,NA,NA
"combogencoo^1893^2",NA,NA,NA,1,NA,NA
"combogencoo^1893^3",NA,NA,NA,1,NA,NA
"combogencoo^1904^1",NA,1,NA,NA,NA,NA
