Plant.Code,elevation,pond_area
1880,694.76,1000000
1888,1243.09,1000000
1891,1449.81,1000000
1893,1295.08,1000000
1897,609.07,1000000
1904,704.6,1000000
1912,701.25,1000000
1915,690.56,1000000
1918,896.51,1000000
1922,931.49,1000000
1925,695.13,1000000
1926,676.87,1000000
1927,822.1,1000000
1934,778.86,1000000
1943,1201.29,1000000
1960,1197.17,1000000
1961,1210.92,1000000
1973,1181.16,1000000
1979,1481.15,1000000
1980,1038.6,1000000
1990,1447.18,1000000
2001,850.14,1000000
2003,1134.62,1000000
2008,986.12,1000000
2018,1434,45.1032218
2022,1130.63,1000000
2039,849.64,1000000
2046,144.97,1000000
2048,286.3,1000000
2049,16.98,1000000
2050,104.16,1000000
2051,141.04,580.1369364
2052,185.11,1000000
2053,362.4,374.1025218
2059,169.57,1000000
2062,128.86,1000000
2063,131.19,1000000
2067,107.11,1000000
2070,207.73,1000000
2076,944.84,26.51631176
2079,741.67,1000000
2080,753.33,1000000
2094,724.97,1000000
2098,811.49,1000000
2103,491.28,1000000
2104,417.14,1000000
2107,445.06,1000000
2123,765.47,1000000
2132,781.56,1000000
2144,783.21,1000000
2161,1161.32,1000000
2167,297.07,1000000
2168,733,1000000
2169,531.87,1000000
2171,731.71,1000000
2187,3105.13,1000000
2226,2365.93,1000000
2236,1311.18,1000000
2240,1179.48,1000000
2241,1843.98,1000000
2244,1932,1000000
2277,1444.14,1000000
2289,1001.08,1000000
2291,985.28,1000000
2322,1686.95,1000000
2324,1583.44,1000000
2326,1697.81,1000000
2330,4316.89,181.029398
2336,4271.93,33.44016931
2341,704.46,1000000
2364,207.74,1000000
2367,18.75,1000000
2378,10.42,1000000
2384,8.19,1000000
2388,21.69,1000000
2390,-2.1,1000000
2393,150.84,1000000
2398,9.68,1000000
2399,12.42,1000000
2403,7.15,1000000
2404,7.84,1000000
2406,9.63,1000000
2408,16.8,1000000
2410,10.12,1000000
2411,7.94,1000000
2434,80.89,1000000
2442,5330.8,1372.789798
2444,3734.53,1000000
2446,3751.04,1000000
2450,5088.76,1000000
2451,5303.04,1000000
2454,3810.47,1000000
2465,5320.31,1000000
2468,6656.63,1000000
2475,5121.76,1000000
2480,7.04,1000000
2490,12.5,1000000
2491,1.49,1000000
2493,6.44,1000000
2497,80.93,1000000
2500,11.08,1000000
2502,17.75,1000000
2511,7.68,1000000
2513,9.01,1000000
2514,14.36,1000000
2516,13.96,1000000
2517,10.02,1000000
2526,836.02,1000000
2527,456.1,1000000
2529,903.61,1000000
2535,395.91,1000000
2539,15.57,1000000
2549,571.62,1000000
2554,580.55,1000000
2589,261.3,1000000
2594,253.02,1000000
2625,8.65,1000000
2629,3.72,1000000
2640,474.03,1000000
2642,250.33,1000000
2682,1313.84,1000000
2706,2170.48,1000000
2708,173.25,1000000
2709,83.61,551.8016013
2712,426.7,1000000
2713,10.13,1173.493444
2716,128.93,216.4828091
2718,588.32,1000000
2720,633.84,1000000
2721,688.71,1000000
2723,514.93,1000000
2727,770.07,1000000
2732,668.43,1000000
2790,1659.11,1000000
2801,1497.51,1000000
2817,1702.56,1000000
2823,1959.78,1000000
2824,1687.83,1000000
2828,669.85,1000000
2830,484.21,1000000
2832,490.55,1000000
2835,578.27,1000000
2836,592.5,1000000
2837,611.36,1000000
2838,579.16,1000000
2840,742.89,1000000
2843,695.42,1000000
2848,699.62,1000000
2850,530.55,1000000
2857,576.72,1000000
2861,869.6,1000000
2864,660.22,1000000
2866,680.17,1000000
2867,659.06,1000000
2872,644.73,1000000
2876,577.41,1000000
2877,592.63,1000000
2878,580.75,1000000
2908,568.51,1000000
2914,875.5,1000000
2917,591.61,1000000
2935,1020.42,1000000
2936,641.61,1000000
2937,858.72,1000000
2942,848.51,1000000
2943,1103.43,1000000
2951,1077.78,336.1439528
2952,514.39,1000000
2953,1237.88,1000000
2956,932.33,1000000
2963,640.98,1000000
2964,1244.19,1000000
2965,624.15,1000000
3000,916.24,1000000
3006,1180.31,1000000
3008,1890.77,1000000
3096,732.19,1000000
3098,751.59,1000000
3113,297.05,1000000
3115,195.13,1000000
3118,1088.26,1000000
3122,1198.91,1000000
3130,1097.25,1000000
3131,1056.34,1000000
3132,1184.69,1000000
3136,1001.13,1000000
3138,779.41,1000000
3140,282.28,1000000
3148,234.49,1000000
3149,536.76,1000000
3152,445.91,1000000
3159,106.79,1000000
3160,10.36,1000000
3161,9.66,1000000
3166,120.85,1000000
3169,17.55,1000000
3176,523.06,1000000
3178,832.18,1000000
3179,794.32,1000000
3181,756.4,1000000
3182,758.38,1000000
3236,11.51,1000000
3251,225.13,1000000
3264,682.37,1000000
3265,796.15,1000000
3280,75.08,1000000
3287,200.11,1000000
3295,143.7,1000000
3297,109.55,1000000
3298,10.4,1000000
3317,18.08,319.0840769
3319,24.31,1000000
3325,3331.01,1000000
3334,1320.35,1000000
3393,238.9,1000000
3396,792.83,1000000
3399,435.44,1000000
3403,465.91,1000000
3405,1109.63,1000000
3406,391.21,1000000
3407,763.68,1000000
3419,730.2,1000000
3436,19.22,1000000
3438,125.53,1000000
3439,421.82,1000000
3440,69.57,1000000
3441,10.82,1000000
3442,38.96,1000000
3443,55.3,1000000
3452,455.93,1000000
3453,472.71,1000000
3454,507.42,1000000
3455,414.78,1000000
3456,4065.69,1000000
3457,275.21,923.8828984
3459,7.84,1000000
3460,17.21,1000000
3461,15.46,1000000
3464,35.5,1000000
3466,11.79,1000000
3468,12,1000000
3469,117.47,1000000
3470,71.01,2352.329666
3471,16.17,1000000
3476,288.68,1000000
3477,282.86,1000000
3478,298.39,607.2886259
3482,3172.52,1000000
3483,3706.34,1000000
3484,3592.27,1000000
3485,3671.15,1000000
3489,673.1,1000000
3490,1075.08,1000000
3491,563.13,1000000
3492,2082.12,1000000
3493,538.56,1000000
3494,2655.71,1000000
3497,321.99,1000000
3500,641.45,1000000
3502,411.95,1000000
3503,333.45,1000000
3504,304.63,1000000
3506,451.96,1000000
3507,283.97,682.5120516
3508,620.75,1000000
3521,1498.66,1000000
3523,2027.62,1000000
3524,1442.76,1000000
3526,2290.31,1000000
3527,1877.67,1000000
3548,563.98,1000000
3549,442.16,1000000
3559,34.09,1000000
3561,340.59,1000000
3574,514.39,1000000
3576,520.73,1000000
3601,455.61,1000000
3602,3155.7,1000000
3604,3200.84,1000000
3609,635.89,1000000
3610,617.1,1000000
3611,492.04,1000000
3612,514,1308.90447
3613,755.18,1000000
3627,903.24,1000000
3628,886.02,1000000
3630,663.12,1000000
3631,102.02,1000000
3644,6115.15,1000000
3648,4226.22,1000000
3686,4572.13,1000000
3751,251.38,1000000
3775,1502.71,1000000
3776,1544.73,1000000
3788,31.89,1000000
3796,223.04,1000000
3797,28.33,1000000
3803,9.91,1000000
3804,34.58,1000000
3806,26.21,1000000
3809,12.01,1000000
3845,223.97,1000000
3935,592.39,1000000
3936,623.3,1000000
3938,587.74,1000000
3942,1218.9,1000000
3943,810.71,1000000
3944,977.72,1000000
3945,875.77,1000000
3946,632.89,1000000
3947,651.18,1000000
3948,667.71,1000000
3954,3263.07,1000000
3982,605.4,1000000
3992,850.44,1000000
4005,647.65,1000000
4040,590.29,1000000
4041,594.07,1000000
4042,585.21,1000000
4046,602.81,1000000
4048,736.98,1000000
4050,592.3,1000000
4054,621.82,1000000
4057,750.11,1000000
4072,583.85,1000000
4078,1181.12,1000000
4125,603.86,1000000
4127,746.24,1000000
4140,674.8,1000000
4143,640.83,1000000
4146,620.03,1000000
4151,4318.78,1000000
4158,4946.16,1000000
4162,6935.19,1000000
4195,551.28,238.67507
4259,1027.11,1000000
4266,651.57,1000000
4270,18.44,1000000
4271,677.13,1000000
4937,852.1,1000000
4938,1636.52,1000000
4939,19.03,1000000
4940,614.29,1000000
4941,4373.7,1000000
6000,609.27,1000000
6001,176.08,1000000
6002,304.28,1000000
6004,634.14,1000000
6008,953.12,1000000
6009,310.36,1000000
6011,43.79,1000000
6013,562.63,1000000
6014,20.64,1000000
6015,260.14,1000000
6016,575.32,1000000
6017,543.76,274.3172534
6018,515.12,1000000
6019,509.29,1000000
6020,619.21,1000000
6021,6357.88,1000000
6022,600.3,2547.580426
6023,872.42,1000000
6025,523,1970.22891
6026,707.29,2072.611257
6030,1971.61,1000000
6031,532.56,1000000
6034,590.76,1000000
6035,756.96,209.5640281
6036,593.57,1000000
6038,759.28,1000000
6040,735.16,1000000
6041,536.6,1000000
6042,53.03,4049.374051
6043,30.9,6600.12
6045,0.33,1000000
6051,124.15,1000000
6052,728.31,1000000
6055,37.6,1000000
6056,3.28,1000000
6061,259.75,1000000
6064,752.72,1000000
6065,786.26,1000000
6068,1300.76,1000000
6071,473.97,1000000
6072,132.43,1000000
6073,23.01,1260.237597
6076,3245.18,1000000
6077,3116.54,3229.348352
6081,238.34,1000000
6082,291.39,1000000
6085,664.16,1000000
6089,1928.01,1000000
6090,965.39,1000000
6094,731.07,1000000
6095,934.74,5590.307836
6096,923.11,1000000
6098,1134.99,346.5869428
6099,107.63,1000000
6103,712.44,1000000
6105,215.83,1000000
6106,695.2,1074.13437
6110,271.17,1000000
6112,4793.94,1000000
6113,408.36,2946.869973
6115,20.62,1000000
6118,11.89,1000000
6122,269.95,1000000
6124,51.29,1000000
6127,435.69,1000000
6136,285.63,1000000
6137,415.31,1000000
6138,1161.03,1000000
6139,347.67,1184.95272
6145,810.52,1000000
6146,311.64,1000000
6147,378.71,1000000
6149,585.25,1000000
6152,705.88,1000000
6153,840.58,1000000
6155,409.55,1000000
6156,9.32,1000000
6165,5658.91,1000000
6166,399.19,1000000
6168,271.73,9.563037742
6170,686.6,1000000
6177,5796.4,1000000
6178,100.48,1000000
6179,358.27,2387.020267
6180,433.94,1000000
6181,491.96,1000000
6183,330.25,1000000
6190,111.99,1000000
6193,3562.53,1000000
6194,3743.84,1000000
6195,1262.31,1000000
6204,4572.05,1000000
6213,500.44,1000000
6225,488.83,1000000
6238,443.72,1000000
6243,348.08,712.2592364
6246,21.52,1000000
6248,4301.38,1000000
6249,19.05,380.552941
6250,535.7,1000000
6251,28.47,7041.51276
6254,685.1,1000000
6257,466.83,1000000
6264,586.06,1000000
6285,506.17,1000000
6288,1274.6,1000000
6358,1069.92,1000000
6462,65.13,1000000
6469,1929.95,1000000
6474,29.11,1000000
6478,7.69,1000000
6481,4677.31,1000000
6504,6.56,1000000
6558,83.92,1000000
6559,278.08,1000000
6639,411.64,1000000
6641,238.57,1000000
6648,473.48,844.8216883
6664,579.22,1000000
6705,393.49,1000000
6706,12.79,1000000
6761,5691.25,501.0456038
6768,301.06,1000000
6772,484.6,1000000
6823,390.75,1000000
7013,1176.95,1000000
7030,428.36,1000000
7097,494.62,1000000
7130,212.75,1000000
7153,11.13,1000000
7210,175.85,1000000
7213,386.49,1000000
7238,80.55,1000000
7242,142.62,804.2985016
7266,82.83,1000000
7286,628.74,1000000
7294,100.2,1000000
7296,989.41,1000000
7302,165.07,1196.134471
7307,522.64,1000000
7314,93.05,1000000
7343,1075.82,1000000
7350,278.05,1000000
7380,128.15,613.2818458
7384,457.43,1000000
7504,4413.44,1000000
7512,514,1308.382165
7513,442.38,1000000
7527,18.35,1000000
7546,1017.17,1000000
7549,740.33,1000000
7551,42.23,1000000
7552,24.9,1000000
7604,318.12,1000000
7605,34.84,1000000
7627,11.92,1000000
7652,290.8,1000000
7696,55.89,1000000
7697,42.52,1000000
7698,228.91,1000000
7699,156.15,1000000
7701,19.15,1000000
7710,533.19,1000000
7721,26.22,1000000
7722,728.09,1000000
7737,8.82,1000000
7757,602.74,1000000
7784,1159.59,1000000
7790,5034.56,1000000
7805,321.46,1000000
7826,735.54,1000000
7832,1456.26,1000000
7834,600.36,1000000
7845,314.99,1000000
7846,80.44,1000000
7870,16.48,1000000
7873,7.3,1000000
7887,1163.97,1000000
7897,185.67,1000000
7900,429.7,1000000
7902,358.68,1186.41046
7917,725.37,1000000
7931,278.07,1000000
7946,725.43,1000000
7949,49.61,1000000
7951,546.6,1000000
7952,19.53,1000000
7985,786.01,1000000
7991,860.81,1000000
7999,305.43,1000000
8000,1349.84,1000000
8002,25.81,1000000
8006,23.76,1000000
8011,304.18,1000000
8023,803.57,390.0173129
8024,605.03,1000000
8031,1187.76,1000000
8036,904.25,1000000
8042,739.05,1000000
8048,18.45,1000000
8054,147.46,1000000
8055,354.46,1000000
8056,12.07,1000000
8059,1118.02,226.8813179
8063,705.29,1000000
8066,6662.08,1000000
8068,1272.84,1000000
8069,6459.7,1000000
8073,19.14,1000000
8102,570.31,1000000
8219,5477.76,1000000
8222,1960.4,1000000
8223,6983.22,1000000
8224,4456.24,1000000
8226,755.99,1000000
8906,11.66,1000000
8907,59.14,1000000
9864,94.92,1000000
10002,1719.29,1000000
10003,5626.6,1000000
10012,582.7,1000000
10013,818.91,1000000
10025,413.49,1000000
10030,36.65,1000000
10033,634.03,1000000
10034,182.6,1000000
10043,14.43,1000000
10052,23.34,1000000
10062,3.36,1000000
10071,7.78,1000000
10072,3159.22,1000000
10075,612.56,1000000
10090,142.41,1000000
10091,106.2,1000000
10099,10.21,1000000
10113,1692.7,1000000
10118,369.09,1000000
10120,9.06,1000000
10143,1921.44,1000000
10144,142.17,1000000
10148,867.81,1000000
10151,1248.28,1000000
10156,188.78,1000000
10168,99.12,1000000
10169,115.44,1000000
10184,1058.71,1000000
10186,244.67,1000000
10187,13.02,1000000
10190,16.06,1000000
10202,11.64,1000000
10224,29.3,1000000
10250,55.21,1000000
10290,474.69,1000000
10294,341.96,1000000
10300,-175.24,1000000
10305,68.5,1000000
10308,52.01,1000000
10333,74.36,288.1454405
10338,61.89,1000000
10342,10.88,1000000
10343,1419.03,1000000
10344,15.62,1000000
10346,745.42,1000000
10347,178.69,1000000
10350,38.82,1000000
10354,410.52,1000000
10356,575.12,1000000
10367,7.28,1000000
10368,33.26,1000000
10369,6.07,1000000
10370,21.93,1000000
10371,38.52,1000000
10373,236.16,1000000
10377,41.19,1000000
10378,25.62,1000000
10379,564.01,1000000
10380,114.38,1000000
10381,77.51,1000000
10382,112.99,1000000
10384,107.65,1000000
10395,782.26,1000000
10405,303.25,1000000
10435,17.33,1000000
10464,625.77,1000000
10471,730.28,1000000
10472,712.71,1000000
10473,224.18,1000000
10478,1259.43,1000000
10485,8.11,1000000
10495,443.03,1000000
10502,119.88,1000000
10503,229.41,1000000
10525,31.02,1000000
10566,9.82,1000000
10567,26.08,1000000
10593,18.17,22.31393518
10603,2169.87,1000000
10617,761.47,1000000
10620,684.36,1000000
10621,393.3,1000000
10629,13.22,1000000
10633,46.25,1000000
10640,19.91,1000000
10641,2181.69,1000000
10642,96.52,1000000
10646,47.29,1000000
10652,3220.17,1000000
10661,4567.3,1000000
10670,22.33,1000000
10671,437.63,1000000
10672,9.35,1000000
10673,12.52,1000000
10675,28.07,1000000
10676,742.59,1000000
10677,1373.13,1000000
10678,647.39,1000000
10682,4240.09,1000000
10683,4240.58,1000000
10686,1278.28,1000000
10725,188.08,1000000
10726,150.87,1000000
10731,505.82,1000000
10741,16.25,1000000
10743,827.39,1000000
10745,600.7,862.5385958
10746,11.04,1000000
10751,11.16,1000000
10755,5518.71,1000000
10761,1922.5,1000000
10764,83.39,1000000
10765,155.42,1000000
10766,221.8,1000000
10767,301.11,1000000
10768,729.15,1000000
10769,634.46,1000000
10771,49.61,1000000
10772,142.5,1000000
10773,546.6,1000000
10774,19.53,1000000
10777,4028.3,1000000
10784,3241.58,1000000
10802,98.5,1000000
10803,275.23,1000000
10805,90.75,1000000
10810,10.83,1000000
10811,12.54,1000000
10812,18.43,1000000
10819,629.46,1000000
10822,1253.97,1000000
10835,416.03,1000000
10836,37.9,1000000
10837,163.14,1000000
10838,1149.62,1000000
10839,1065.69,1000000
10840,319.35,1000000
10850,2421.97,1000000
10869,1319.58,1000000
50002,1015.83,1000000
50035,245.49,1000000
50051,68.87,1000000
50068,493.77,1000000
50071,16.82,1000000
50099,4151.68,1000000
50109,520.56,1000000
50111,4965.57,1000000
50127,1022.54,1000000
50137,71.3,1000000
50201,2148.21,1000000
50202,574.6,1000000
50208,1047.05,1000000
50215,485.76,1000000
50225,38,1000000
50243,15.27,1000000
