Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
550,WA,gw_fresh,52968,53003,1447.18,1000000,48.634925,-118.112396,1.702E+11
562,CT,sw_fresh,700,705,24.8,1000000,41.520237,-72.577573,010802050702
563,CT,sw_fresh,701,706,25.37,1000000,41.702517,-72.640084,010802050505
564,FL,reclaimed_ww,7393,7448,75.94,1000000,28.478684,-81.135822,030801011003
589,VT,gw_fresh,1964,1970,114.64,1000000,44.493842,-73.131584,043001030704
593,DE,sw_saline,4188,2047,9.19,1000000,39.777102,-75.522638,020402050602
594,DE,sw_saline,2981,3000,8.78,1000000,38.602217,-75.181162,020403030206
599,DE,municipal,2686,2708,36.34,1000000,39.170385,-75.590348,020402070301
602,MD,sw_fresh,3887,3928,33.52,1000000,39.184356,-76.489813,020600031204
603,DC,sw_fresh,4127,4135,17.44,1000000,38.901197,-76.931863,020700100204
612,FL,sw_saline,7140,7189,9.7,1000000,26.674303,-81.750389,030902050605
619,FL,sw_saline,4263,4263,7.68,1000000,26.719972,-80.062479,030902061003
620,FL,sw_fresh,7452,7461,15.79,1096.607715,28.837241,-81.258181,030801011303
638,FL,sw_fresh,4724,4485,72.02,1000000,30.37689,-83.161794,031102050101
641,FL,sw_fresh,4308,4284,18.06,1000000,30.591166,-87.236611,031403050602
642,FL,sw_fresh,4774,4792,89.09,1000000,30.681124,-84.905002,031300110203
645,FL,sw_saline,8283,8344,7.27,1000000,27.767998,-82.406241,031002060402
646,FL,sw_saline,8280,8340,6.94,1000000,27.914904,-82.345182,031002060302
647,FL,sw_saline,8270,8327,0,1000000,27.901992,-82.486474,031002060303
649,GA,sw_fresh,9771,9832,213.81,1000000,33.153483,-81.719328,030601060805
658,FL,municipal,4253,4253,3.5,1000000,27.316223,-80.262332,030902060504
663,FL,gw_fresh,4643,4661,184.27,1000000,29.766906,-82.437803,031102060501
664,FL,gw_fresh,8042,8100,142.8,1000000,29.590349,-82.3373,030801021105
666,FL,sw_fresh,8089,8154,9.41,1000000,30.311945,-81.598849,030801031503
667,FL,sw_saline,8101,8164,9.23,1000000,30.410442,-81.526919,030801031602
668,FL,sw_fresh,8090,8155,9.68,1000000,30.314849,-81.673705,030801031405
672,FL,municipal,9286,9335,62.84,1000000,28.229629,-81.36235,030901010400
673,FL,municipal,4263,4263,23,1000000,26.719972,-80.062479,030902061003
675,FL,sw_fresh,8162,8219,133.06,1000000,28.064598,-81.895516,031001010101
676,FL,reclaimed_ww,8162,8219,135.78,1000000,28.064598,-81.895516,031001010101
688,FL,gw_fresh,7178,7216,135.23,1000000,30.485528,-84.417027,031200030303
689,FL,sw_fresh,7152,7202,9.01,1000000,30.186947,-84.186348,031200011003
699,GA,sw_fresh,5295,5320,333.39,1000000,32.958211,-83.728034,030701031601
700,GA,sw_fresh,4893,4585,777.63,1000000,33.787391,-84.456224,031300020101
703,GA,sw_fresh,5598,5629,726.34,1000000,34.111084,-84.960842,031501041407
708,GA,sw_fresh,8016,8069,587.66,1000000,34.290317,-85.338638,031501050203
709,GA,sw_fresh,4409,4416,363.95,1000000,33.176577,-83.318224,030701011707
710,GA,sw_fresh,4893,4585,776.52,1000000,33.787391,-84.456224,031300020101
727,GA,sw_fresh,5019,5035,176.57,1000000,31.471419,-84.052296,031300080205
728,GA,sw_fresh,4915,4931,745.2,1000000,33.449207,-84.940167,031300020403
733,GA,sw_fresh,9179,9243,9.59,1000000,32.157408,-81.160109,030601090307
734,GA,sw_saline,9179,9243,17.57,1000000,32.157408,-81.160109,030601090307
748,FL,gw_fresh,9331,9398,60.18,1000000,27.486487,-81.357134,030901011802
753,GA,sw_fresh,5470,5501,240,1000000,31.835599,-83.88894,031300060610
762,OK,municipal,37093,37112,1016.8,1000000,36.739124,-97.118053,1.106E+11
856,IL,sw_fresh,20009,20037,461.66,1000000,40.589962,-89.650984,071300030304
861,IL,sw_fresh,20378,20408,615.78,71.33497386,39.08276,-89.412801,071402030304
862,IL,sw_fresh,18427,18442,363.11,1000000,37.749595,-89.551373,071401050309
